[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr
lore_rings_ring_cowraven|Does it go ”Moooooooo” or does it screech? Nobody knows..||Ele faz “Moooooooo” ou Grita? Ninguém sabe..|Звучит ”Моооооооо” или это визг? Никто не знает..|||“음메에에에” 소리를 내나요, 아니면 비명을 지르나요? 아무도 몰라요..||Est-ce qu'il meugle ou est-ce qu'il fait croasse ? Personne ne le sait.
lore_rings_rakhuls_ritual_band|Every warrior needs a mantra..||Todo guerreiro precisa de um mantra.||||모든 전사는 만트라가 필요하다.||
lore_rings_azazels_despair|Insert a Soul Gem to awaken the demon||Insira uma Gema da Alma para despertar o demônio||||영혼의 보석을 삽입하여 악마를 깨우십시오||
lore_rings_emblem_of_the_daemon|Marked by the beast, and be sure it will collect…||Marcado pela besta, e tenha certeza de que ela o recolherá...||||짐승에게 표시되었으니, 반드시 그 짐승이 찾아올 것이다...||
|||||||||
[belts]|||||||||
belts_normal_sash|Sash||Faixa|Створка|||||Ceinturon
belts_normal_leather_belt|Leather Belt||Cinto de Couro|Кожаный Ремень|||가죽 벨트||Ceinture de cuir
belts_normal_heavy_belt|Heavy Belt||Cinto Pesado|Тяжелый Ремень|||무거운 벨트||Ceinture épaisse
belts_normal_devilhide_sash|Devilhide Sash||Faixa de Couro Demoníaco|Пояс из Дьявольской кожи|||악마 가죽 허리띠||Écharpe de cuir de démon
belts_normal_viperskin_belt|Viperskin Belt||Cinto de Pele de Cobra|Пояс из змеиной кожи|||독사의 가죽 벨트||Ceinture de peau de vipère
belts_normal_battle_belt|Battle Belt||Cinto de Batalha|Боевой Пояс|||전투 벨트||Ceinture de bataille
belts_normal_wyrmhide_sash|Wyrmhide Sash||Cinto de pele de Wyrm|Пояс из Змеиной Кожи|||용가죽 허리띠||Ceinture de cuir de wyrm
belts_normal_mithril_coil|Mithril Coil||Cinto de Mythril|Мифриловая Катушка|||미스릴 코일||Ceinture de mithril
belts_normal_vampirefang_girdle|Vampirefang Girdle||Cinturão do Vampiro|Пояс из Клыков Вампира|||뱀파이어 송곳니 벨트||Ceinturon vamprique
|||||||||
[belts_unique]|||||||||
belts_warrior_belt|Tundra Warrior's Girdle||Cinturão do Guerreiro da Tundra|Пояс Воина Тундры|||툰드라 전사의 허리띠||Ceinture du guerrier de la toundra
belts_viperskin_belt|Vipermagi's Belt||Cinto do Mago-víbora|Пояс Випермаги|||비퍼마기의 벨트||Ceinture de Vipermage
belts_lich_sash|Lich Sash|Lich-nauha|Faixa de Lich|Пояс Лича|巫妖腰带|リッチサッシュ|시체 띠|Leichengürtel|Ceinture de liche
belts_tribal_belt|Tribal Belt|Heimovyö|Cinto Tribal|Племенной Пояс|部落地带|トライバルベルト|부족 벨트|Stammesgürtel|Ceinture tribale
belts_foxweave_belt|Foxweave Belt|Ketunkutoma Vyö|Cinto da Raposa Tecelã|Пояс из Лисьей ткани|狐狸波腰带|フォックスウィーブベルト|폭스위브 벨트|Fuchsgürtel|Ceinture en cuir de renard
belts_assassins_belt|Assassin's Belt|Salamurhaajan Vyö|Cinto do Assassino|Пояс убийцы|刺客的腰带|アサシンズベルト|암살자의 벨트|Mördergürtel|Ceinture d'assassin
belts_crystal_belt|Crystal Belt|Kristallivyö|Cinto de Cristal|Хрустальный Пояс|水晶带|クリスタルベルト|크리스탈 벨트|Kristallgürtel|Ceinture de cristal
belts_heavy_duty|Heavy Duty|Raskas Työvyö|Trabalho Pesado|Сверхпрочный|重型|ヘビーデューティ|대형|Harte Beanspruchung|Robustesse
belts_commanders_sash|Commander's Sash|Komentajan Nauha|Faixa do Comandante|Командирский пояс|指挥官的腰带|司令官のサッシュ|사령관의 띠|Schärpe des Kommandanten|Ceinture de commandant
belts_monkeyskin_belt|Monkeyskin Belt|Apinannahkavyö|Cinto de Pele de Macaco|Пояс из Обезьяньей Кожи|猴子皮腰带|モンキースキンベルト|몽키스킨 벨트|Affenhautgürtel|Ceinture en peau de singe
belts_belt_of_war|Belt of War|Sotavyö|Cinto da Guerra|Пояс войны|战争腰带|ベルト･オブ･ウォー|전쟁의 벨트|Gürtel des Krieges|Ceinture de guerre
belts_travelers_double_belt|Traveler's Double Belt|Matkustajan Kaksinkertainen Vyö|Cinto Duplo do Viajante|Двойной Ремень Путешественника|旅行者双腰带|トラベラーズダブルベルト|여행자 용 더블 벨트|Doppelgürtel des Reisenden|Ceinture double de voyageur
belts_belt_of_skulls|Belt of Skulls|Pääkallovyö|Cinturão de Crânios|Пояс из черепов|骷髅腰带|頭蓋骨のベルト|해골 허리띠|Gürtel der Schädel|Ceinture de crânes
belts_engineers_toolbelt|Engineer's Toolbelt|Insinöörin Työkaluvyö|Cinto de Ferramentas do Engenheiro|Пояс для инструментов инженера|工程师工具带|エンジニアのツールベルト|엔지니어의 도구 벨트|Werkzeuggürtel des Ingenieurs|Ceinture d'outils d'ingénieur
belts_vagabonds_strap|Vagabond's Strap|Kiertolaisen Remmi|Alça do Vagabundo|Ремень Бродяги|流浪者的表带|バガボンドのストラップ|방랑자의 결박|Vagabonds Riemen|Sangle de vagabond
belts_flame_diviners_cord|Flame Diviner's Cord|Tuliennustajan Köysi|Cinto do Adivinho da Chama|Огненный шнур Прорицателя|烈焰神谕者的绳|炎占い師のコード|화염 점쟁이의 장식 끈|Flammenwahrsagers Kabel|Cordon de pyromancien
belts_justiciars_thunder_sash|Justiciar's Thunder Sash|Oikeuttajan Ukkosvyö|Faixa Trovejante do Justiceiro|Громовой пояс Юстициария|正义法官的雷霆腰带|司法長官のサンダーサッシュ|Justiciar의 천둥 장식 띠|Justiciars Donnerschärpe|Ceinture de tonnerre du justicier
belts_earth_shapers_belt|Earth Shaper's Belt|Maanmuokkaajan Vyö|Cinto do Modelador de Terras|Пояс Формирователя Земли|造地者腰带|アースシェイパーのベルト|지구 형성 자의 허리띠|Gürtel des Erdformers|Ceinture de l'élémen'terre
belts_knights_girdle|Knight's Girdle|Knight's Girdle|Cinturão do Cavaleiro|Рыцарский пояс|Knight's Girdle|Knight's Girdle|기사의 허리띠|Knight's Girdle|Ceinture de chevalier
belts_belt_of_infinite_wealth|Belt of Infinite Wealth|Äärettömän rikkauden vyö|Cinto de Riqueza Infinita|Пояс Несметного Богатства|无限财富的腰带|無限の富をもたらすベルト|무한한 부의 벨트|Gürtel des unendlichen Reichtums|Ceinture de profusion
belts_rugals_sash_of_undertaking|Rugal's Sash of Undertaking|Rugalin sitoutumislippu|Faixa do Compromisso de Rugal|Пояс обязательств Ругала|Rugal的承诺书|ルガルの襷（たすき）をかけて|루갈의 서약의 장식띠|Rugal's Schärpe der Unternehmung|Ceinture d'engagement de Rugal
belts_sash_of_magi|Sash of the Magi|Taikurien liivi|Faixa dos Magos|Пояс волхвов|麦琪的腰带|マギのサッシュ|마기의 허리띠|Schärpe der Heiligen Drei Könige|Ceinture des mages
belts_ice_queens_cestus|Ice Queen's Cestus|Jääkuningattaren Cestus|Cinto da Rainha do Gelo|Цестус Ледяной королевы|冰雪女王的塞斯图斯|Ice Queen's Cestus|얼음 여왕의 세스터스|Eisköniginnenzistrosen|Cestus de la reine des glaces
belts_sets_lightning_sash|Set's Lightning Sash|Setin salamanauha|Faixa Eletrocutada de Set|Пояс на молнии в комплекте|集的闪电腰带|セトのライトニングサッシュ|세트의 번개 허리띠|Blitzschärpe des Sets|Ceinture de foudre de Set
belts_tether_of_anguish|Tether of Anguish|Tuskan köysi|Amarra da Angústia|Оковы тоски|痛苦的纽带|Tether of Anguish（苦悩の綱|고통의 족쇄|Fessel der Angst|Filin de l'angoisse
belts_hatsepsuts_girdle|Hatshepsut's Girdle|Hatsepsutin vyötärö|Cinturão de Hatshepsut|Пояс Хатшепсут|哈特谢普苏特的腰带|ハトシェプストのガードル|하트셉수트의 허리띠|Hatschepsuts Hüftgürtel|Ceinture d'Hatchepsout
belts_ashen_belt|Ashen Belt|Tuhkainen vyö|Cinto de Cinzas|Пепельный Пояс|灰烬带|アッシェンベルト|잿빛 벨트|Aschegürtel|Ceinture de cendres
belts_combat_duty_belt|Combat Duty Belt|Combat Duty Belt|Cinto de Serviço de Combate|Пояс для боевого дежурства|Combat Duty Belt|Combat Duty Belt|전투 임무 벨트|Combat Duty Belt|Ceinture de combat
belts_cingulum_of_shifting_destiny|Cingulum of Shifting Destiny|Cingulum of Shifting Destiny|Cíngulo do Destino Mutável|Поясная кость Меняющейся Судьбы|Cingulum of Shifting Destiny|Cingulum of Shifting Destiny|운명의 변화 허리띠|Cingulum of Shifting Destiny|Echarpe de la destinée instable
belts_brute_cord|Brute's Cord |Brute's Cord |Corda do Bruto|Шнур Грубияна |Brute's Cord |Brute's Cord |야만인의 끈|Brute's Cord |Cordon de la brute 
belts_sun_wukongs_belt|Sun Wukong's Belt|Sun Wukong's Belt|Cinto de Sun Wukong|Пояс Сунь Укуна|Sun Wukong's Belt|Sun Wukong's Belt|손오공의 벨트|Sun Wukong's Belt|Ceinture de Sun Wukong
belts_warbosses_trophy_belt|Warbosses' Trophy Belt|Warbosses Trophy Belt|Cinturão de Troféus dos Chefes de Guerra|Трофейный пояс боевых боссов|Warbosses Trophy Belt|Warbosses Trophy Belt|워보스의 트로피 벨트|Warbosses Trophy Belt|Ceinture du trophée des chefs de guerre
belts_gaze_of_void|Gaze of the Void|Gaze of the Void|Olhar do Vazio|Пристальный взгляд в пустоту|Gaze of the Void|Gaze of the Void|공허의 시선|Gaze of the Void|Vision du Néant
belts_pitfighters_razor_belt|Pitfighter's Razor Belt|Pitfighter's Razor Belt|Cinturão do Lutador do Poço|Бритвенный пояс Питфайтера|Pitfighter's Razor Belt|Pitfighter's Razor Belt|핏파이터의 면도날 벨트|Pitfighter's Razor Belt|Ceinture-rasoir du combattant des fosses
belts_bronze_legion_girdle|Bronze Legion Girdle|Bronze Legion Girdle|Cinturão da Legião de Bronze|Пояс Бронзового Легиона|Bronze Legion Girdle|Bronze Legion Girdle|브론즈 군단 벨트|Bronze Legion Girdle|Ceinture en bronze de la légion
belts_girdle_of_resilience|Girdle of Resilience||Cinturão da Resiliência|Пояс жизнестойкости|||회복력의 벨트||Ceinture de résilience
belts_usbs_cord|USB's Cord||Corda do Usb|Шнур USB|||USB의 코드||Câble USB
belts_guardians_waistband|Guardian's Waistband||Cintura do Guardião|Пояс Хранителя|||수호자의 허리띠||Ceinture du gardien
belts_storms_dawn|Storm's Dawn||Amanhecer da Tempestade|Рассвет шторма|||폭풍의 새벽||Aube de la tempête
belts_runemasters_waistwrap|Runemaster's Waistwrap||Cinto do Mestre de Runas|Поясная повязка Мастера Рун|||룬마스터의 허리띠||Ceinture du maître des runes
belts_solar_magisters_sash|Solar Magister's Sash||Faixa do Mestre Solar|Пояс Солнечного магистра|||태양 마법사의 허리띠||Ceinture de magister solaire
belts_lunar_prophets_girdle|Lunar Prophet's Girdle||Cinturão do Profeta Lunar|Пояс Лунного пророка|||달의 예언자의 허리띠||Gaine du prophète lunaire
belts_sash_of_eternal_hatred|Sash of Eternal Hatred||Faixa do Ódio Eterno||||영원한 증오의 허리띠||
belts_gladiator_kings_belt|Gladiator King's Belt||Cinto do Rei Gladiador||||검투사 왕의 벨트||
belts_majories_belt|Majorie's Belt||Cinto de Majorie||||마조리의 벨트||
belts_butchers_belt|Butcher's Belt||Cinto do Açougueiro||||도살자의 벨트||
belts_thunder_callers_sash|Thunder Caller's Sash||Faixa do Invocador de Trovões||||번개 소환사의 허리띠||
belts_soulburn_belt|Soulburn Belt||Cinturão Queima-alma||||영혼 연소 벨트||
belts_freyas_frozen_buckle|Freya's Frozen Buckle||Fivela Congelada de Freya||||프레이야의 얼어붙은 버클||
belts_komodo_dragon_leather_belt|Komodo’s Bloodstrap||Cinta Sangrenta de Komodo||||코모도의 피끈||
belts_ancient_collectors_sash|Trophy Hunter||Caçador de Troféus||||트로피 사냥꾼||
belts_liquor_holster|Liquor Holster||Coldre de Bebidas||||주류 홀스터||
belts_girdle_of_eternal_war|Girdle of Eternal War||||||영원의 전쟁 벨트||
belts_el_patrons_madness|El Patrón´s Madness||||||엘 파트론의 광기||
|||||||||
lore_belts_belt_of_infinite_wealth|They say wealth is in the mind, not the pocket, I learned that from a very wise man.||Dizem que a riqueza está na mente, não no bolso. Aprendi isso com um homem muito sábio.|Говорят, богатство в уме, а не в кармане, я узнал это от очень мудрого человека.|||부는 주머니가 아닌 마음에 있다고들 하죠. 저는 그것을 매우 현명한 사람에게 배웠어요.||On dit que la richesse est dans l'esprit, pas dans la poche, j'ai appris cela d'un homme très sage.
lore_belts_sets_lightning_sash|Set the stormbringer, a legendary warrior who mastered the thunder, bending lightnings to his will.||Set, o Portador da Tempestade, um guerreiro lendário que dominava o trovão, dobrando os raios à sua vontade.|Установите буревестника, легендарного воина, который овладел громом, подчиняя молнии своей воле.|||폭풍의 지배자 Set, 전설적인 전사로 천둥을 지배하며 번개를 자신의 뜻대로 구부린다.||Set, le porteur de tempête, un guerrier légendaire qui maîtrisait le tonnerre, pliant les éclairs à sa volonté.
lore_belts_belt_of_skulls|From the fallen heroes in Ancient Colosseum, Rakhul collected their skulls as a throphy and turned them into this belt sparking fear in the heart of those who dare to face him.||Dos heróis caídos no Antigo Coliseu, Rakhul coletou seus crânios como um troféu e os transformou neste cinto, provocando medo no coração daqueles que ousam enfrentá-lo.|У павших героев в Древнем Колизее Ракхул собрал их черепа в качестве трофеев и превратил их в этот пояс, вселяющий страх в сердца тех, кто осмеливается встретиться с ним лицом к лицу.|||고대 콜로세움에서 전사한 영웅들의 두개골을 수집하여, 라쿨은 그것을 트로피로 삼아 이 벨트로 만들어 그를 마주하는 자들의 마음에 공포를 불러일으켰다.||Rakhul a recueilli les crânes des héros tombés dans l'ancien Colisée et les a transformés en une ceinture qui inspire la terreur à ceux qui osent l'affronter.
lore_belts_sash_of_eternal_hatred|Destruction, Annihilation, Extinction.. All the beauty encrusted within..||Destruição, aniquilação, extinção... Toda a beleza incrustada em seu interior...||||파괴, 소멸, 멸종... 그 안에 담긴 모든 아름다움...||
lore_belts_gladiator_kings_belt|Designed to inflict fear and anxiety in any opponent..||Criado para infligir medo e ansiedade em qualquer oponente...||||상대를 두려움과 불안에 빠뜨리도록 설계되었습니다...||
lore_belts_majories_belt|Foreseen are the sins of man..||Previstos estão os pecados do homem....||||인간의 죄는 예견되었다..||
lore_belts_soulburn_belt|Souls burning for an eternity.. ||Almas queimando por uma eternidade..||||영원히 타오르는 영혼들..||
lore_belts_freyas_frozen_buckle|The belt of an ancient Giant who lived in the mountains of Danethorpe..||O cinto de um Gigante ancião que viveu nas montanhas de Danethorpe..||||다네소프 산맥에 살았던 고대 거인의 허리띠.||
lore_belts_komodo_dragon_leather_belt|Crafted from an Authentic Komodo Dragon Leather somewhere near Mt. Fuji..||Criado a partir de um autêntico couro de dragão de Komodo em algum lugar próximo ao Monte Fuji..||||후지산 근처 어딘가에서 진짜 코모도 드래곤 가죽으로 제작됨..||
lore_belts_ancient_collectors_sash|Look at all these.. collections.. ?||Veja todas essas... coleções... ?||||이 모든.. 수집품들을.. 봐?||
lore_belts_liquor_holster|The blood of a powerful mage was mixed within the liquor bottles..||O sangue de um mago poderoso foi misturado nas garrafas de licor...||||강력한 마법사의 피가 술병 안에 섞여 있었다...||
lore_belts_girdle_of_eternal_war|Forged within the ashes of an eternal battle. Woren by the mighty warlord Sung Lee..||||||영원한 전투의 재 속에서 단련된. 강력한 군벌 성 리가 착용한..||
lore_belts_el_patrons_madness|He worked him self to the edge of madness.. The hours.. The days.. When does it end?||||||그는 미쳐버릴 정도로 자신을 몰아붙였어.. 시간들.. 날들.. 언제 끝나는 걸까?||
|||||||||
[Consumables]|||||||||
consumable_blood_of_spartan|Blood of Spartan||Sangue de Espartano||||스파르탄의 피||
consumable_bottle_of_radogate|Bottle of Radogate||Garrafa de Radogate||||라도가테 병||
consumable_bottle_of_sake|Bottle of Sake||Garrafa de Saquê||||사케 병||
consumable_caffeinated_coffee_container|Caffeinated Coffee Container||Recipiente de Café com Cafeína||||카페인이 든 커피 용기||
consumable_elixir_of_death|Elixir of Death||Elixir da Morte||||죽음의 엘릭서||
consumable_elixir_of_unworldly_cognition|Elixir of Unworldly Cognition||Elixir da Cognição Não-mundana||||초월적인 인식의 엘릭서||
consumable_empty_bottle_of_vodka|Empty Bottle of Vodka||Garra Vazia de Vodka||||빈 보드카 병||
consumable_ghostly_potion|Ghostly Potion||Poção Fantasmagórica||||유령의 물약||
consumable_gold_inlaid_mysterious_potion|Gold Inlaid Mysterious Potion||Poção Misteriosa Imbuída de Ouro||||금이 새겨진 신비한 물약||
consumable_maggot_eye_elixir|Maggot Eye Elixir||Elixir de Olho de Larva||||구더기 눈의 엘릭서||
consumable_power_of_void|Power of Void||Poder do Vazio||||공허의 힘||
consumable_praetorian_blood|Praetorian Blood||Sangue Pretoriano||||프라이토리안 블러드||
consumable_prismatic_potion|Prismatic Potion||Poção Prismática||||프리즘 물약||
consumable_protein_shake|Protein Shake||Shake de Proteína||||프로틴 쉐이크||
consumable_radbull|Radbull||Radbull||||래드불||
consumable_sung_lees_unleashed_rage|Sung Lee's Flask of Carnage||Frasco da Carnificina de Sung Lee||||성 리의 대학살의 플라스크||
consumable_surstromming|Surströmming||Surströmming||||수르스트룀밍||
consumable_witches_potion|Witches Potion||Poção das Bruxas||||마녀의 물약||
consumable_wizard_potion|Wizard Potion||Poção do Mago||||마법사 물약||
consumable_coffee_mug|Sarcaster’s Coffee Mug||Xícara de Café do Sarcaster||||사카스터의 커피 머그컵||
consumable_dark_vial_corrosion|Dark Vial of Corrosion||Frasco Negro de Corrosão||||부식의 어두운 약병||
consumable_amun_ras_demise|Amun Ra´s Demise||||||아문 라의 몰락||
|||||||||
lore_consumable_blood_of_spartan|Enhances your Defense and Damage Return.||Aumenta a sua Defesa e Retorno de Dano.||||방어력과 피해 반사를 강화합니다.||
lore_consumable_bottle_of_radogate|Gain Increased Movement Speed and Phasing.||Ganha Velocidade de Movimento Aumentada e Phasing.||||이동 속도 증가 및 페이징 획득.||
lore_consumable_bottle_of_sake|Increases your Attack Damage and Critical Strike Damage.||Aumenta o seu Dano de Ataque e Dano de Acerto Crítico.||||공격력과 치명타 피해량이 증가합니다.||
lore_consumable_caffeinated_coffee_container|Deal Increased Damage to Burning targets.||Causa Dano Aumentado em alvos Queimando.||||불타는 대상에게 추가 피해를 입힙니다.||
lore_consumable_elixir_of_death|Enhances all Damage dealt.||Aumenta todo o seu Dano causado.||||모든 피해량 증가||
lore_consumable_elixir_of_unworldly_cognition|Increases your Experience gained.||Aumenta o seu Ganho de Experiência.||||경험치 획득량이 증가합니다.||
lore_consumable_empty_bottle_of_vodka|Gain additional All Skills for its duration.||Ganha Todas as Habilidades adicionais pela sua duração.||||지속 시간 동안 모든 추가 스킬을 획득합니다.||
lore_consumable_ghostly_potion|Enhances Magic Skill Damage.||Aumenta o seu Dano de Habilidade Mágica.||||마법 스킬 피해를 증가시킵니다.||
lore_consumable_gold_inlaid_mysterious_potion|Gain Increased Magic Find and Gold from monster kills.||Receba Magic Find e Ouro de Eliminações Aumentado.||||몬스터 처치 시 마법 발견 확률과 골드 획득량 증가.||
lore_consumable_maggot_eye_elixir|Increases your Attack Speed and Attack Rating.||Aumenta a sua Velocidade de Ataque e Taxa de Ataque.||||공격 속도와 명중률이 증가합니다.||
lore_consumable_power_of_void|Unleash Comets when casting any spell.||Libera Cometas ao lançar qualquer feitiço.||||모든 주문을 시전할 때 혜성을 발사합니다.||
lore_consumable_praetorian_blood|Gain Increased Life Steal.||Receba Roubo de Vida Aumentado.||||생명력 흡수 증가||
lore_consumable_prismatic_potion|Increases All Resistances.||Aumenta Todas as Resistências.||||모든 저항력 증가.||
lore_consumable_protein_shake|Buffs your Strength and Vitality.||Aumenta sua Força e Vitalidade.||||힘과 활력을 강화합니다.||
lore_consumable_radbull|Gain Increased Attack Speed and Movement Speed.||Ganhe Maior Velocidade de Ataque e Velocidade de Movimento.||||공격 속도와 이동 속도가 증가합니다.||
lore_consumable_sung_lees_unleashed_rage|All Attacks now cause enemies to bleed.||Todos os Ataques agora fazem com que inimigos sangrem.||||모든 공격은 이제 적에게 출혈을 유발합니다.||
lore_consumable_surstromming|Gain Increased Life Replenish and Mana Replenish.||Ganhe Regeneração de Vida e Mana Aumentados.||||생명 회복과 마나 회복 증가||
lore_consumable_witches_potion|Gain full Life & Mana and Increased Life & Mana Replenish.||Receba Vida e Mana cheias e Regeneração de Vida e Mana aumentados.||||생명력과 마나가 모두 회복되고 생명력 및 마나 회복 속도가 증가합니다.||
lore_consumable_wizard_potion|Enhances your Cast Rate.||Aumenta a sua Taxa de Conjuração.||||시전 속도를 향상시킵니다.||
lore_consumable_coffee_mug|Kahtellaa syssymmällä..||Kahtellaa syssymmällä..||||||
lore_consumable_dark_vial_corrosion|Consists of an ancient mystic plague infused in darkness..||Consiste em uma antiga praga mística infundida na escuridão..||||고대의 신비한 역병이 어둠에 물든 상태로 구성되어 있습니다..||
lore_consumable_amun_ras_demise|From beyond afterlife Amun Ra reaps the souls of the living and undead..||||||사후 세계 너머에서 아문 라는 살아있는 자와 언데드의 영혼을 수확합니다.||
|||||||||
[runeword]|||||||||
runeword_breath_of_dying|Breath of the Damned||Sopro dos Condenados|Дыхание проклятых|||저주받은 자의 숨결||Souffle des damnés
lore_runeword_breath_of_dying|From where darkness intertwines with light, and the veil between life and death is thin. This ancient weapon is a harrowing statement to the cursed souls who once wielded it.||De onde a escuridão se entrelaça com a luz, e o véu entre a vida e a morte é fino. Esta antiga arma é uma declaração angustiante para as almas amaldiçoadas que uma vez a empunharam.|Оттуда, где тьма переплетается со светом, а завеса между жизнью и смертью тонка. Это древнее оружие - душераздирающее заявление проклятым душам, которые когда-то владели им.|||어둠이 빛과 얽히고 생명과 죽음의 장막이 얇아지는 곳에서. 이 고대 무기는 한때 그것을 휘둘렀던 저주받은 영혼들에게 참혹한 선언입니다.||De là où les ténèbres se mêlent à la lumière et où le voile entre la vie et la mort est mince. Cette arme ancienne est une déclaration poignante pour les âmes maudites qui l'ont jadis maniée.
runeword_windstride|Windstride|Tuulentuoma|Caminhar do Vento|Скачущий по ветру|疾风|ウィンドストライド|윈드스트라이드|Windschritt|Chevauchée du vent
lore_runeword_windstride|Born from the essence of ethereal winds. It's gleaming core, hewn from a comet that graced the heavens.||Nascido da essência de ventos etéreos. Seu núcleo reluzente foi criado a partir de um cometa que agraciou os céus.|Рожденный из эссенции эфирных ветров. Это сверкающее ядро, вырезанное из кометы, которая украсила небеса.|||에테르 바람의 정수에서 태어났다. 하늘을 장식한 혜성에서 깎아 만든 빛나는 핵이다.||Née de l'essence des vents éthérés. Son noyau étincelant, taillé dans une comète qui a brillé dans les cieux.
runeword_potency|Potency|Teho|Potência|Потенция|效力|潜在力|힘|Potenz|Puissance
lore_runeword_potency|Forged from the core of a glacial storm wielding the power of a thousands frozen souls.||Forjado a partir do núcleo de uma tempestade glacial, exercendo o poder de milhares de almas congeladas.|Выкованный из сердцевины ледяного шторма, обладающий силой тысяч замороженных душ.|||빙하 폭풍의 핵심에서 단련되어 수천 개의 얼어붙은 영혼의 힘을 휘두른다.||Forgé à partir du cœur d'une tempête glaciaire, il possède le pouvoir de milliers d'âmes gelées.
runeword_sleight|Sleight|Silmänkääntäjä|Destreza|Ловкость|手法|巧妙|술책|Geschicklichkeit|Fourberie
lore_runeword_sleight|The ancient weapon that once belonged to a malevolent demon, created from pure hatred and forged from an angels bone marrow..||A antiga arma que pertenceu a um demônio malévolo, criada a partir de puro ódio e forjada a partir da medula óssea de um anjo..|Древнее оружие, которое когда-то принадлежало злобному демону, созданному из чистой ненависти и выкованному из костного мозга ангела..|||한때 사악한 악마가 소유했던 고대 무기, 순수한 증오로 만들어지고 천사의 골수로 단련된 무기..||Une arme ancienne ayant appartenu à un démon malveillant, créée à partir de la haine pure et forgée à partir de la moelle osseuse d'un ange...
runeword_shelter|Shelter|Suoja|Refúgio|Укрытие|避难所|シェルター|대피처|Unterkunft|Refuge
lore_runeword_shelter|Created by Bergan Néel to protect those who face the hellfire, giving Shelter to a hero in need of one.||Criado por Bergan Néel para proteger aqueles que enfrentam o fogo do inferno, dando abrigo a um herói que precise de um.|Создан Берганом Неэлем для защиты тех, кто сталкивается с адским пламенем, предоставляя убежище герою, нуждающемуся в нем.|||베르간 네엘이 지옥불에 맞서는 자들을 보호하기 위해 만들었으며, 도움이 필요한 영웅에게 쉼터를 제공합니다.||Créé par Bergan Néel pour protéger ceux qui affrontent les flammes infernales, il offre un abri à un héros qui en a besoin.
runeword_mirage|Mirage|Kangastus|Miragem|Мираж|海市蜃楼|ミラージュ|신기루|Illusion|Mirage
lore_runeword_mirage|Nine hundred celestial lights converge, infusing this ancient aegis with the blazing might of a sun.||Novecentas luzes celestiais convergem, infundindo esta antiga égide com o poder ardente de um sol.|Девятьсот небесных огней сходятся, наполняя эту древнюю эгиду пылающей мощью солнца.|||구백 개의 천상의 빛이 모여 이 고대의 방패에 태양의 타오르는 힘을 불어넣습니다.||Neuf cents lumières célestes convergent, insufflant à cette ancienne égide la puissance flamboyante d'un soleil.
runeword_thinking_cap|Thinking Cap|Mietintämyssy|Elmo do Pensamento|Мыслящий Колпачок|思考|シンキングキャップ|심사숙고|Denkmütze|Capuchon de réflexion
lore_runeword_thinking_cap|One must never judge a quiet man, as there might rage a storm in their mind.||Nunca se deve julgar um homem calmo, pois pode haver uma tempestade em sua mente.|Никогда не следует осуждать спокойного человека, так как в его голове может бушевать буря.|||조용한 사람을 판단해서는 안 된다. 그들의 마음속에 폭풍이 휘몰아칠 수 있다.||Il ne faut jamais juger un homme silencieux, car il peut y avoir une tempête dans son esprit.
runeword_lightforge|Lightforge|Valontakoja|Forja da Luz|Световой Горн|光铸|ライトフォージ|라이트포지|Lichtschmiede|Forge de lumière
lore_runeword_lightforge|In the darkest time forged in the heavens, thy shall shine light in to the dark.||No momento mais sombrio forjado nos céus, você deve iluminar a escuridão.|В самое темное время, сотворенное на небесах, твой свет будет сиять во тьме.|||천상에서 단련된 가장 어두운 시간에, 그대는 어둠 속에 빛을 비출 것이다.||Dans les temps les plus sombres, forgés dans les cieux, ils feront briller la lumière dans l'obscurité.
runeword_scholar|Scholar|Oppinut|Acadêmico|Ученый|学者|学者|학자|Gelehrter|Érudit
lore_runeword_scholar|Tales told this belonged to the Arch Mages apprentice on his journey to study and learn.||As histórias contam que isso pertencia ao aprendiz de Arquimago em sua jornada para estudar e aprender.|Рассказывали, что это принадлежало ученику Верховного Мага, отправившемуся в свое путешествие, чтобы учиться.|||이 이야기는 대마법사의 제자가 공부하고 배우기 위해 여행 중에 소유했던 것이라고 전해진다.||Les récits racontent qu'il appartenait à l'apprenti de l'Archi-mage lors de son voyage d'étude et d'apprentissage.
runeword_fortress|Fortress|Linnoitus|Fortaleza|Крепость|堡垒|要塞|요새|Festung|Forteresse
lore_runeword_fortress|Built to protect from evil, like a fortress I stand my ground.||Construído para proteger do mal, como uma fortaleza, mantenho minha posição.|Построенный для защиты от зла, я стою на своем, как крепость.|||악으로부터 보호하기 위해 지어진 나는 요새처럼 내 자리를 지킨다.||Construite pour protéger du mal, comme une citadelle, je me tiens debout.
runeword_bristle|Bristle|Harjas|Bristle|Щетина|猪鬃|針毛|털|Borste|Ericius
lore_runeword_bristle|Cursed to walk a path of anger, wielded by those who let their toxic feelings best them.||Amaldiçoado a trilhar um caminho de raiva, manejado por aqueles que se deixam dominar por seus sentimentos tóxicos.|Проклят идти по пути гнева, которым владеют те, кто позволяет своим ядовитым чувствам взять над собой верх.|||분노의 길을 걷도록 저주받은 자, 독성 감정을 극복하지 못한 이들에 의해 휘둘린다.||Maudite pour marcher sur le chemin de la colère, maniée par ceux qui se laissent dominer par leurs sentiments néfastes.
