[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr
e_pogocho_3|Pogocho the Terror Lord|Kauhuloordi Pogocho|Pogocho, o Senhor do Terror|Погочо Повелитель Ужаса|波戈乔恐怖之王|恐怖の主ポゴチョ|공포의 제왕 포고초|Pogocho der Terrorherr|Pogocho le seigneur de la terreur
|||||||||
|||||||||
e_jonathan_1|Sir Jonathan|Sir Joonatan|Sir Jonathan|Сэр Джонатан|乔纳森爵士|サー・ジョナサン|조나단 경|Sir Jonathan|Sir Jonathan
e_jonathan_2|Jonathan the Fallen Marksman|Kaatunut jousimies Joonatan|Jonathan, o Atirador Caído|Джонатан - Павший Стрелок|乔纳森堕落的射手|ジョナサン・ザ・フォールン・マークスマン|전사한 명사수 조나단|Jonathan der Gefallene Scharfschütze|Jonathan, le tireur d'élite déchu
e_jonathan_3|Sir Jonathan Lacy|Sir Jonathan Lacy|Sir Jonathan Lacy|Сэр Джонатан Лейси|乔纳森·莱西爵士|サー・ジョナサン・レイシー|조나단 레이시 경|Sir Jonathan Lacy|Sir Jonathan Lacy
|||||||||
|||||||||
e_igor_1|Igor|Iigor|Igor|Игорь|伊戈尔|イゴール|이고르|Igor|Igor
e_igor_2|Igor the Frozen Shaman|Jäätynyt shamaani Iigor|Igor, o Xamã Congelado|Игорь Замороженный Шаман|冰霜巫师伊戈尔|凍結シャーマン・イゴール|서리 주술사 이고르|Igor der gefrorene Schamane|Igor le chaman gelé
e_igor_3|Shadow Shaman Igor|Varjoshamaani Iigor|Igor, Xamã das Sombras|Теневой Шаман Игорь|影子巫师伊戈尔|シャドーシャーマン・イゴール|환영 주술사 이고르|Schattenschamane Igor|Igor le chaman de l'ombre
|||||||||
|||||||||
e_colossal_anomaly_1|Colossal Anomaly|Jättimäinen Poikkeama|Anomalia Colossal|Колоссальная Аномалия|巨型恶鬼|巨大な異形|뒤틀린 거대 장기|Kolossale Anomalie|Anomalie colossale
e_colossal_anomaly_2|Plump of Flesh|Lihakimpale|Roliço de Carne|Пухленькая Мякоть|丰满的肉体|ふくよかな血肉|살코기 덩어리|Fleischklumpen|Boulettes de viande
e_colossal_anomaly_3|Underworld Devourer|Alamaailman Ahmija|Devorador do Submundo|Пожиратель Подземного Мира|地下毁灭者|アンダーワールド・デバウアー|지옥의 포식귀|Unterwelt Verschlinger|Dévoreur du monde souterrain
|||||||||
|||||||||
e_satan_1|Satan|Saatana|Satã|Сатана|撒旦|サタン|사탄|Satan|Satan
e_satan_2|Beelzebub|Beelzebub|Belzebu|Вельзевул|魔王|ベルゼブブ|벨제붑|Beelzebub|Belzébuth
e_satan_3|Perkele|Perkele|Perkele|Перкеле|佩尔凯勒|ペルケル|퍼켈레|Teufel|Diable
|||||||||
|||||||||
e_gaben_1|Lord Gaben|Loordi Gaben|Senhor Gaben|Lord Gaben|加本勋爵|ゲイブン卿|게이브 경|Lord Gaben|Seigneur Gaben
e_gaben_2|Gabenator|Gabenaattori|Gabenator|Габенатор|加贝纳托|ゲイブネーター|게이브네이터|Gabenator|Gabenator
e_gaben_3|Master of Steam|Steamin mestari|Senhor da Steam|Мастер пара|蒸汽大师|マスター・オブ・Steam|Steam의 제왕|Meister des Dampfes|Maître de Steam
|||||||||
|||||||||
e_gargorath_1|Gargorath|Gargorath|Gargorath|Гаргорат|加尔戈拉|ガゴラス|가르고라스|Gargorath|Gargorath
e_gargorath_2|Gargorath the Dominator|Hallitsija Gargorath|Gargorath, o Dominador|Гаргорат Властелин|加戈拉特·多明特|支配者ガゴラス|지배자 가르고라스|Gargorath der Dominator|Gargorath le dictateur
e_gargorath_3|Doom Commander Gargorath|Tuhokomentaja Gargorath|Gargorath, Comandante da Desgraça|Роковой Командир Гаргорат|末日指挥官加尔戈拉|ドゥーム・コマンダー・ ガゴラス|파멸의 지휘관 가르고라스|Untergangskommandant Gargorath|Gargorath le commandant de la destruction
|||||||||
|||||||||
e_steve_1|Stickman Steve|Teemu Tikku-Ukko|Stickman Steve|Крупье Стив|火柴人史蒂夫|棒人間スティーブ|졸라맨 스티브|Strichmännchen Steve|Stickman Steve
e_steve_2|Stickman Steve Senior|Sr. Teemu Tikku-Ukko|Stickman Steve Sênior|Крупье Стив Старший|火柴人史蒂夫进阶|棒人間スティーブ・シニア|졸라맨 스티브 시니어|Strichmännchen Steve Senior|Stickman Steve senior
e_steve_3|Ancient Stickman Steve|Muinainen Teemu Tikku-Ukko|Steve, Stickman Ancião|Древний Крупье Стив|古代火柴人史蒂夫|古代棒人間スティーブ|고대 졸라맨 스티브|Alter Strichmännchen Steve|Stickman Steve ancestral
|||||||||
e_ooze_1|Nightmare Ooze|Tihkuva painajainen|Gosma do Pesadelo|Кошмарная Жижа|软泥噩梦|悪夢の粘液|악몽의 분비물|Schlammiger Albtraum|Boue cauchemardesque
e_ooze_2|Corrosive Nightmare|Syövyttävä painajainen|Pesadelo Corrosivo|Разъедающий Кошмар|腐蚀性噩梦|腐食の悪夢|부패된 악몽|Ätzender Albtraum|Cauchemar corrosif
e_ooze_3|Sleep Paralysis|Unihalvaus|Paralisia do Sono|Сонный паралич|睡眠麻痹|睡眠麻痺|수면 마비|Lähmender Schlaf|Paralysie du sommeil
|||||||||
|||||||||
e_mevius_1|Mevius|Mevius|Mevius|Mevius|梅维乌斯|メビウス|메비우스|Mevius|Mevius
e_mevius_2|Rift Horror Mevius|Repeämän kauhu Mevius|Mevius, Horror da Fenda|Рифт Хоррор Мевиус|裂缝恐怖梅维乌斯|割れ目のホラー・メビウス|균열 공포 메비우스|Mevius, das Grauen aus der Tiefe|Mevius horreur de la faille
e_mevius_3|Mevius the Rift God|Repeämän jumala Mevius|Mevius, o Deus da Fenda|Мевиус - Бог Разлома|梅维乌斯裂缝神|割れ目の神・メビウス|균열의 신 메비우스|Mevius, der Gott der Tiefe|Mevius dieu de la faille
|||||||||
|||||||||
e_shadowreaper_1|Shade of Death|Kuoleman varjo|Sombra da Morte|Тень смерти|死亡阴影|デスシェード|죽음의 장막|Schatten des Todes|Ombre de la Mort
e_shadowreaper_2|Shade of Death|Kuoleman varjo|Sombra da Morte|Тень смерти|死亡阴影|デスシェード|죽음의 장막|Schatten des Todes|Ombre de la Mort
e_shadowreaper_3|Shade of Death|Kuoleman varjo|Sombra da Morte|Тень смерти|死亡阴影|デスシェード|죽음의 장막|Schatten des Todes|Ombre de la Mort
|||||||||
|||||||||
e_gimbo_1|Gimbo the Hammermaster|Vasaramestari Gimbo|Gimbo, o Mestre do Martelo|Джимбо - Мастер Молота|金博锤神|ハンーマ・マスターのギンボ|망치장이 김보|Gimbo, der Meister des Hammers|Gimbo le maître du marteau
e_gimbo_2|Gimbo the Conqueror|Valloittaja Gimbo|Gimbo, o Conquistador|Гимбо - Завоеватель|金博征服者|征服者ギンボ|정복자 김보|Gimbo der Eroberer|Gimbo le conquérant
e_gimbo_3|The Giant|Jättiläinen|O Gigante|Гигант|巨人|ジャイアント|거대한 존재|Der Gigant|Le Géant
|||||||||
|||||||||
e_necronomicon_1|The Necronomicon|Necronomicon|O Necronomicon|Некрономикон|死灵之书|ヘッドレスのジェームス|머리 없는 자 제임스|James der Kopflose|Le Necronomicon
e_necronomicon_2|Ancient Book of Death|Kuoleman muinainen kirja|Livro da Morte Ancião|Древняя Книга Смерти|古代死灵之书|ジェームズ伯爵|제임스 백작|Graf James|Ancien livre de la Mort
e_necronomicon_3|THE BOOK|KIRJA|O LIVRO|КНИГА|死灵之书|ジェームズ・ザ・モンスターシティ|기괴한 자 제임스|Jakobus der Ungeheuerliche|LE LIVRE
|||||||||
|||||||||
e_james_1|James the Headless|Päätön James|James, o Sem-cabeça|Джеймс Безголовый|无头詹姆斯|ネクロノミコン|네크로노미콘|Das Necronomicon|Jacques le décapité
e_james_2|Count James|Kreivi James|Conde James|Граф Джеймс|詹姆斯伯爵|古代の死の本|고대 죽음의 서|Antikes Buch des Todes|Comte Jacques
e_james_3|James the Monstrosity|Rumilus James|James, a Monstruosidade|Джеймс - Чудовище|詹姆斯超级怪物|ザ・ブック|그 책|DAS BUCH|Jacques la monstruosité
|||||||||
|||||||||
e_leviathan_1|Leviathan|Leviatan|Leviatã|Левиафан|利维坦海怪|リヴァイアサン|리바이어던|Leviathan|Léviathan
e_leviathan_2|Ancient Leviathan|Muinainen Leviatan|Leviatã Ancião|Древний Левиафан|古代利维坦海怪|昔のリヴァイアサン|고대의 리바이어던|Antiker Leviathan|Léviathan antique
e_leviathan_3|Leviathan the Demon God|Demonijumala Leviatan|Leviatã, o Deus Demônio|Левиафан - Бог - Демон|利维坦海怪|魔神リヴァイアサン|반신 리바이어던|Leviathan, der Dämonengott|Léviathan, le dieu démoniaque
|||||||||
e_jormungandr_1|Jormungandr||||||요르문간드||
e_jormungandr_2|Jormungandr||||||요르문간드||
e_jormungandr_3|The World Serpent||||||세계 뱀||
|||||||||
e_graveSkeleton_1|Grave Skeleton||Esqueleto da Tumba||||무덤 해골||
e_graveSkeleton_2|Grave Skeleton||Esqueleto da Tumba||||무덤 해골||
e_graveSkeleton_3|Grave Skeleton||Esqueleto da Tumba||||무덤 해골||
|||||||||
e_graveZombie_1|Grave Zombie||Zumbi da Tumba||||무덤 좀비||
e_graveZombie_2|Grave Zombie||Zumbi da Tumba||||무덤 좀비||
e_graveZombie_3|Grave Zombie||Zumbi da Tumba||||무덤 좀비||
|||||||||
e_curcanLegion_1|Curacan Legion||||||쿠라칸 군단||
e_curcanLegion_2|Curacan Legion||||||쿠라칸 군단||
e_curcanLegion_3|Curacan Warchief||||||쿠라칸 전쟁족장||
|||||||||
e_curacanMarksman_1|Curacan Marksman||||||쿠라칸 명사수||
e_curacanMarksman_2|Curacan Marksman||||||쿠라칸 명사수||
e_curacanMarksman_3|Curacan Stinger||||||큐라칸 스팅어||
|||||||||
|||||||||
|||||||||
|||||||||
e_uberAnubis_1|Amun Ra||||||아문 라||
e_uberAnubis_2|Amun Ra||||||아문 라||
e_uberAnubis_3|Amun Ra||||||아문 라||
|||||||||
uberAnubis_spell_01|Crushing Meteor||||||분쇄 유성||
uberAnubis_spell_02|Decaying Wall||||||부식된 벽||
uberAnubis_spell_03|Corrupted Sarkofagi||||||||
uberAnubis_spell_04|Amun Ra´s Curse||||||아문 라의 저주||
uberAnubis_spell_05|Unholy Voltage||||||불경한 전압||
uberAnubis_spell_06|Blood of Amun Ra||||||아문 라의 피||
|||||||||
e_nestUberAnubis_1|Corrupted Sarkofagus||||||부패한 사르코파구스||
e_nestUberAnubis_2|Corrupted Sarkofagus||||||부패한 사르코파구스||
e_nestUberAnubis_3|Corrupted Sarkofagus||||||||
|||||||||
e_bloodOfRa_3|Amun Ra´s Blood||||||아문 라의 피||
e_shadeOfSobek_4|Shade of Sobek||||||소벡의 그림자||
e_shadeOfThoth_4|Shade of Thoth||||||||
e_anubisHeart_4|Heart of Amun Ra||||||아문 라의 심장||
e_crocolisk_3|Crocolisk||||||||
|||||||||
e_uberLuna_1|Possessed Luna||Luna Possuída||||빙의된 루나||
e_uberLuna_2|Possessed Luna||Luna Possuída||||빙의된 루나||
e_uberLuna_3|Possessed Luna||Luna Possuída||||빙의된 루나||
|||||||||
uberLuna_spell_01|Crystal Ball||Bola de Cristal||||||
uberLuna_spell_02|Black Hole||Buraco Negro||||블랙홀||
uberLuna_spell_03|Starstruck||Golpe Estelar||||스타스트럭||
uberLuna_spell_04|Cosmic Winds||Ventos Cósmicos||||우주의 바람||
uberLuna_spell_05|Starshower||Chuva de Estrelas||||별비||
|||||||||
e_uberGabriel_1|Gabriel the Fallen Angel|Kaatunut enkeli Gabriel|Gabriel, o Anjo Caído|Гавриил - Падший Ангел|加布里埃尔堕落天使|ガブリエル・ザ・堕天使|타락 천사 가브리엘|Gabriel, der gefallene Engel|Gabriel, l'ange déchu
e_uberGabriel_2|Gabriel the Fallen Angel|Kaatunut enkeli Gabriel|Gabriel, o Anjo Caído|Гавриил - Падший Ангел|加布里埃尔堕落天使|ガブリエル・ザ・堕天使|타락 천사 가브리엘|Gabriel, der gefallene Engel|Gabriel, l'ange déchu
e_uberGabriel_3|Gabriel the Fallen Angel|Kaatunut enkeli Gabriel|Gabriel, o Anjo Caído|Гавриил - Падший Ангел|加布里埃尔堕落天使|ガブリエル・ザ・堕天使|타락 천사 가브리엘|Gabriel, der gefallene Engel|Gabriel, l'ange déchu
|||||||||
gabriel_spell_01|Gabriel’s Shadow||Sombra de Gabriel||||가브리엘의 그림자||
gabriel_spell_02|Defile||Perverter||||더럽히다||
gabriel_spell_03|Fallen Heretic||Herege Caído||||타락한 이단자||
gabriel_spell_04|Annihilation||Aniquilação||||||
|||||||||
e_nest_stump_1|Giant Stump|Jättikanto|Toco Gigante|Гигантский Пень|巨型树桩|巨大な切り株|거대한 그루터기|Riesiger Stumpf|Souche géante
e_nest_skeleton_1|Bone Lair|Luukolo|Covil de Ossos|Костяное Логово|骷髅巢穴|骨の埋め場|뼈대|Knochenhöhle|Tanière d'os
e_nest_goblin_1|Goblin Den|Peikon kolo|Covil de Goblins|Goblin Den|妖精窝|ゴブリンの巣窟|고블린 던전|Goblinversteck|Repaire de gobelins
e_nest_maggot_1|Maggot Lair|Madon kolo|Covil de Larvas|Логово Личинок|蠕虫窝|蛆虫のアジト|가드 레어|Madenhöhle|Repaire d'asticots
e_nest_rat_1|Rat Nest|Rotan pesä|Ninho de Ratos|Крысиное гнездо|鼠巢|ドブネズミの巣|쥐 소굴|Rattennest|Nid de rats
e_nest_mummy_1|Sarkofagus|Sarkofagi|Sarcófago|Саркофагус|石棺|サルコファガス|석관|Sarkophag|Sarcophage
e_nest_skeleton_desert_1|Skeletal Cave|Luurankoluola|Caverna Esquelética|Пещера Скелетов|骷髅洞穴|骸骨の洞窟|해골 굴|Skeletthöhle|Grotte squelettique
e_nest_samurai_1|Samurai Altar|Samurai alttari|Altar Samurai|Алтарь самурая|武士祭坛|サムライの祭壇|사무라이 제단|Samuraialtar|Autel de samouraï
e_nest_piranha_1|Piranha Cave|Piraijaluola|Caverna de Piranhas|Пещера Пираньи|水虎鱼洞穴|ピラニアの洞窟|피라냐 동굴|Piranhahöhle|Grotte des piranhas
e_nest_beast_1|Beast Cove|Pedon poukama|Esconderijo das Bestas|Бухта Зверя|怪兽山谷|猛獣の入江|비스트 코브|Biesterbucht|Baie des bêtes
e_attack_dummy_1|Attack Dummy|Harjoitusnukke|Boneco de Ataque|Атакующий Манекен|攻击傀儡|攻撃ダミー|더미 공격|Angriffspuppe|Mannequin d'attaque
e_damien_head_1|Damien's Head|Damienin pää|Cabeça de Damien|Голова Дэмиена|达米恩的头颅|デイミアンの頭|데미안의 머리|Damiens Kopf|Tête de Damien
e_rat_pontus_pack_1|Pack of Rats|Rottalauma|Bando de Ratos|Стая крыс|一群老鼠|ドブネズミの群れ|쥐 무리|Rattenrudel|Paquet de rats
e_nest_anubis_1|Anubis Sarkofagus|Anubis sarkofagi|Sarcófago de Anúbis|Анубис Саркофагус|阿努比斯石棺|アヌビスのサルコファガス|아누비스 석관|Anubis' Sarkophag|Sarcophage d'Anubis
e_nest_anubis_2|Anubis Sarkofagus|Anubis sarkofagi|Sarcófago de Anúbis|Анубис Саркофагус|阿努比斯石棺|アヌビスのサルコファガス|아누비스 석관|Anubis' Sarkophag|Sarcophage d'Anubis
e_nest_anubis_3|Anubis Sarkofagus|Anubis sarkofagi|Sarcófago de Anúbis|Анубис Саркофагус|阿努比斯石棺|アヌビスのサルコファガス|아누비스 석관|Anubis' Sarkophag|Sarcophage d'Anubis
e_satan_left_hand_1|Satan's Left Hand|Saatanan vasen käsi|Mão Esquerda de Satã|Левая рука сатаны|撒旦的左手|サタンの左手|사탄의 왼손|Satans Rechte Hand|Main gauche de Satan
e_satan_right_hand_1|Satan's Right Hand|Saatanan oikea käsi|Mão Direita de Satã|Правая рука сатаны|撒旦的右手|サタンの右手|사탄의 오른손|Satans Linke Hand|Main droite de Satan
e_plague_rat_1|Plague Rat|Ruttorotta|Rato da Peste|Чумная Крыса|瘟疫鼠|黒死病ドブネズミ|병든 쥐|Pestratte|Rat de la peste
e_black_widow_1|Black Widow|Musta leski|Viúva Negra|Черная Вдова|黑寡妇|黒後家蜘蛛|블랙 위도우|Schwarze Witwe|Veuve noire
e_earthworm_jack_1|Earthworm Jack|Jaska Maanmatonen|Jack, a Minhoca|Джек из Дождевого Червя|蚯蚓杰克|ミミズのジャック|지렁이 잭|Regenwurm Jack|Jack le ver de terre
e_abyssal_imp_1|Abyssal Imp|Syvyyksien piru|Diabrete Abissal|Бездонный Бес|地狱恶魔|深淵の邪鬼|심연의 악마|Abyssaler Wichtel|Diablotin abyssal
e_icehowl_1|Ice Howl|Jääulvoja|Uivo de Gelo|Ледяной Вой|冰雪怒号|氷の遠吠え|아이스 하울|Eisgeheul|Hurlement de glace
e_freezing_monstrosity_1|Freezing Monstrosity|Jäätävä monsteri|Monstruosidade Congelante|Леденящее Душу Чудовище|冰霜超级怪物|凍結の怪物|얼어붙은 괴물|Gefrorene Monstrosität|Monstruosité glacée
e_colossal_legion_1|Colossal Legion|Jättiläislegioonalainen|Legião Colossal|Колоссальный Легион|巨星军团|巨大軍団|거대 군단|Kolossale Legion|Légionnaire colossal
gurag_guard|Gurag's Guard|Guragin vartija|Guarda do Gurag|Охранник Гурага|古拉格的卫兵|グーラグの衛兵|구라그의 가드|Gurags Wächter|Garde de Gurag
|||||||||
e_zombie_crawler_1|Zombie Crawler|Zombie matelija|Zumbi Rastejante|Зомби - Краулер|僵尸爬行者|地を這うゾンビ|좀비 크롤러|Zombie-Kriecher|Zombie rampant 
e_zombie_crawler_2|Diseased Gnawler|Tautinen näykkijä|Roedor Adoecido|Больной Грызун|瘟疫啮噬者|病気の噛むゾンビ|질병에 걸린 깨무는자|Verseuchter Nager|Charognard contaminé
e_zombie_crawler_3|Putrid Monstrosity|Mädäntynyt monsteri|Monstruosidade Pútrida|Гнилостное Чудовище|腐烂的超级僵尸|腐敗した怪物|부패한 괴물|Faulige Monstrosität|Monstruosité putride
|||||||||
|||||||||
e_undead_priest_1|Undead Priest|Epäkuollut pappi|Sacerdote Morto-vivo|Немертвый Священник|亡灵祭司|不死の祭司|언데드 신부|Untoter Priester|Prêtre mort-vivant
e_undead_priest_2|Fallen Bishop|Kaatunut piispa|Bispo Caído|Падший Епископ|堕落主教|堕ちた司祭|타락한 주교|Gefallener Bischof|Évêque déchu
e_undead_priest_3|Satan Worshiper|Saatananpalvoja|Adorador de Satã|Поклоняющийся сатане|撒旦崇拜者|サタンの信仰者|사탄 숭배자|Satans-Verehrer|Adorateur de Satan
|||||||||
|||||||||
e_shade_1|Shade|Varjo|Sombra|Тень|阴影|日陰|그림자|Schatten|Ombre
e_shade_2|Dark Shade|Synkkä varjo|Sombra das Trevas|Темный Оттенок|黑暗阴影|暗黒の日陰|다크 섀도우|Dunkler Schatten|Ombre noire
e_shade_3|Shadow of Evil|Pahuuden varjo|Sombra do Mal|Тень зла|邪恶的阴影|悪魔の影|악마의 그림자|Schatten des Bösen|Ombre du mal
|||||||||
|||||||||
e_shadow_anomaly_1|Shadow Anomaly|Varjokummajainen|Anomalia das Sombras|Теневая Аномалия|阴影恶魔|影の異常|그림자 이상|Schattenanomalie|Anomalie de l'ombre
e_shadow_anomaly_2|Dark Lurker|Synkkä vaanija|Espreitador das Trevas|Темный Скрывающийся|黑暗潜伏着|暗黒の潜伏者|어른거리는 어둠|Dunkler Beobachter|Rôdeur sombre
e_shadow_anomaly_3|Ancient Zealot|Muinainen fanaatikko|Fanático Ancião|Древний Фанатик|古代的狂热者|古代の狂信者|고대 광신도|Uralter Berserker|Zélote antique
|||||||||
|||||||||
e_monk_1|Monk|Munkki|Monge|Монах|和尚|僧侶|수도승|Mönch|Moine
e_monk_2|Shaolin Fighter|Shaolin taistelija|Lutador Shaolin|Шаолиньский Боец|少林武士|少林拳士|소림 전투|Shaolinkämpfer|Combattant Shaolin
e_monk_3|High Monk|Ylimunkki|Monge Superior|Верховный Монах|高僧|大僧正|취한 수도승|Hoher Mönch|Moine supérieur
|||||||||
|||||||||
e_armored_knight_1|Armored Knight|Haarniskaritari|Cavaleiro Blindado|Рыцарь в доспехах|装甲骑士|甲冑騎士|갑옷 입은 기사|Ritter in Rüstung|Chevalier en armure
e_armored_knight_2|Horned Trooper|Sarvipäinen soturi|Soldado Chifrudo|Рогатый солдат|角骑兵|角のある騎兵|뿔난 군인|Gehörnter Soldat|Soldat cornu
e_armored_knight_3|Legion Officer|Legioonan upseeri|Oficial da Legião|Офицер Легиона|军团军官|軍団長|군단 장교|Legionsoffizier|Officier de la légion
|||||||||
|||||||||
e_prison_guard_1|Prison Guard|Vanginvartija|Guarda da Prisão|Тюремный охранник|狱警|刑務官|교도관|Gefängniswärter|Gardien de prison
e_prison_guard_2|Jail Officer|Vankilaupseeri|Oficial da Prisão|Тюремный надзиратель|监狱警长|牢番|감옥 지킴이|Gefängnisaufseher|Officier de la pénitence
e_prison_guard_3|Dungeon Marauder|Tyrmämestari|Saqueador da Masmorra|Мародер Подземелий|地牢掠夺者|地下牢の襲撃者|던전 약탈자|Verliesplünderer|Pilleur de donjon
|||||||||
|||||||||
e_triangle_1|Triangle Charger|Kolmioryntääjä|Triângulo Carregador|Треугольное Зарядное Устройство|三角形充电器|トライアングルチャージャー|삼각 충전기|Dreieckangreifer|Triangle
e_triangle_2|Champion Triangle|Kolmiomestari|Triângulo Campeão|Чемпионский Треугольник|冠军三角形|チャンピオン･トライアングル|챔피언 삼각형|Champion-Dreieck|Triangle champion
e_triangle_3|Monstrous Triangle|Kolmiohirviö|Triângulo Monstruoso|Чудовищный Треугольник|怪兽三角形|モンスタラス･トライアングル|괴물 같은 삼각형|Monströses Dreieck|Triangle monstrueux
|||||||||
|||||||||
e_propeller_1|Propeller|Potkuri|Propulsor|Пропеллер|螺旋桨|プロペラ|프로펠러|Propeller|Hélice
e_propeller_2|Flying Shape|Lentävä muoto|Forma Voadora|Летящая Форма|飞行的形状|フライングシェイプ|날으는 형태|Fliegende Form|Forme volante
e_propeller_3|Abnormal Geocube|Epätavallinen geokuutio|Geocubo Anormal|Аномальный Геокуб|异常的几何魔方|アブノーマル･ジオキューブ|비정상 지오 큐브|Abnormer Geowürfel|Géocube anormal
|||||||||
|||||||||
e_cube_1|Cube Fighter|Taistelukuutio|Cubo Lutador|Кубический Боец|魔方战斗机|キューブファイター|큐브 파이터|Würfelkämpfer|Combattant cubique
e_cube_2|Warrior Box|Soturikuutio|Caixa Guerreira|Шкатулка Воина|战士的盒子|ウォリアーボックス|워리어 박스|Kriegerbox|Boîte guerrière
e_cube_3|Betawave Crusher|Beta-aaltomurskaaja|Esmagador de Ondas Beta|Двухволновая Дробилка|贝塔波破碎机|ベータウェーブクラッシャー|베타웨이브 크러셔|Betawellen-Zerstörer|Destructeur d'ondes bêta
|||||||||
|||||||||
e_ball_1|Geoball|Geopallo|Geobola|Геоболл|几何球|ジオボール|지오볼|Geoball|Géoballe
e_ball_2|Fractured Orb|Murtunut pallo|Orbe Fraturado|Расколотый Шар|裂缝的球|砕けたオーブ|파열된 구체|Gebrochene Kugel|Orbe fracturé
e_ball_3|Fractal Monstrosity|Fraktaalihirviö|Monstruosidade Fractal|Фрактальное Чудовище|分形怪物|フラクタル･モンストロシティ|프랙털 흉물|Fraktale Monströsität|Monstruosité fractale
|||||||||
|||||||||
e_samurai_archer_1|Samurai Marksman|Samurai-ampuja|Atirador Samurai|Стрелок - Самурай|武士射手|侍射手|사무라이 명사수|Samurai-Schütze|Tireur d'élite samouraï
e_samurai_archer_2|Legion Marksman|Legioonan ampuja|Atirador da Legião|Стрелок Легиона|军团神射手|レギオン射手|군단 명사수|Legionsschütze|Tireur d'élite de la Légion
e_samurai_archer_3|Master of Arrows|Nuolien Mestari|Mestre das Flechas|Мастер Стрел|箭大师|矢の達人|화살의 달인|Meister der Pfeile|Maître des flèches
|||||||||
|||||||||
e_gnarler_1|Gnarler|Murisija|Deformado|Корявый|木节|グナーラー|그날러|Knurrer|Noyeur
e_gnarler_2|Paralyzed Horror|Halvaantunut kauhu|Horror Paralisado|Парализованный Ужас|瘫痪的恐惧|麻痺した恐怖|마비된 공포|Paralysierter Horror|Horreur paralysante
e_gnarler_3|Subconcious Demon|Alitajuinen demoni|Demônio Subconsciente|Подсознательный Демон|潜意识恶魔|潜在意識の悪魔|잠재적 악마|Unterbewusster Dämon|Démon de l'inconscient
|||||||||
|||||||||
e_casket_horror_1|Casket Horror|Arkkukammotus|Horror do Caixão|Ужас в Гробу|棺材恐怖|キャスケットホラー|관 공포|Sarghorror|Horreur du cercueil
e_casket_horror_2|Casket Horror|Arkkukammotus|Horror do Caixão|Ужас в Гробу|棺材恐怖|キャスケットホラー|관 공포|Sarghorror|Terreur du cercueil
e_casket_horror_3|Meat Logger|Lihametsuri|Madeireiro de Carne|Мясорубка|肉记录器|ミートロガー|고기 로거|Fleischlogger|Bûcheron de viande
|||||||||
|||||||||
e_nightmare_priest_1|Nightmare Priest|Painajaispappi|Sacerdote do Pesadelo|Кошмарный Священник|噩梦神父|ナイトメアプリースト|악몽의 사제|Alptraumpriester|Prêtre cauchemardesque
e_nightmare_priest_2|Nightmare Priest|Painajaispappi|Sacerdote do Pesadelo|Кошмарный Священник|噩梦神父|ナイトメアプリースト|악몽의 사제|Alptraumpriester|Prêtre du cauchemar
e_nightmare_priest_3|Hallucinated Baptist|Hallusinoitu baptisti|Batista Alucinado|Баптист с Галлюцинациями|时浸信会|幻覚のバプテスト|환각의 침례교|Halluzinierter Baptist|Baptiseur halluciné
|||||||||
|||||||||
e_cyclops_boss_1|King Rakhul|Kuningas Rakhul|Rei Rakhul|Король Ракхул|拉库尔国王|ラクル王|라쿨 왕|König Rakhul|Roi Rakhul
e_cyclops_boss_2|King Rakhul|Kuningas Rakhul|Rei Rakhul|Король Ракхул|拉库尔国王|ラクル王|라쿨 왕|König Rakhul|Roi Rakhul
e_cyclops_boss_3|King Rakhul|Kuningas Rakhul|Rei Rakhul|Король Ракхул|拉库尔国王|ラクル王|라쿨 왕|König Rakhul|Roi Rakhul
|||||||||
|||||||||
e_sung_lee_1|Sung Lee|Sung Lee|Sung Lee|Сун Ли|Sung Lee|Sung Lee|성 리|Sung Lee|Sung Lee
e_sung_lee_2|General Sung Lee|General Sung Lee|General Sung Lee|Генерал Сун Ли|General Sung Lee|General Sung Lee|장군 성 리|General Sung Lee|Général Sung Lee
e_sung_lee_3|War God Sung Lee|War God Sung Lee|Sung Lee, Deus da Guerra|Бог Войны Сун Ли|War God Sung Lee|War God Sung Lee||War God Sung Lee|Sung Lee, dieu de la guerre 
|||||||||
|||||||||
e_tundra_hog_1|Tundra Hog|Tundra Hog|Porco da Tundra|Тундровый Боров|Tundra Hog|Tundra Hog|툰드라 멧돼지|Tundra Hog|Porc de la toundra
e_tundra_hog_2|Mountain Swine|Mountain Swine|Porco da Montanha|Горная Свинья|Mountain Swine|Mountain Swine|산돼지|Mountain Swine|Porc de montagne
e_tundra_hog_3|Elder Swine|Elder Swine|Porco Ancião|Старшая Свинья|Elder Swine|Elder Swine|장로 돼지|Elder Swine|Porc ancien
|||||||||
|||||||||
e_forest_troll_1|Forest Troll|Forest Troll|Troll da Floresta|Лесной Тролль|Forest Troll|Forest Troll||Forest Troll|Troll des forêts
e_forest_troll_2|Swamp Roamer|Swamp Roamer|Peregrino do Pântano|Бродяга по болотам|Swamp Roamer|Swamp Roamer|늪지 떠돌이|Swamp Roamer|Rôdeur des marais
e_forest_troll_3|Mold Eater|Mold Eater|Comedor de Mofo|Пожиратель плесени|Mold Eater|Mold Eater|곰팡이 먹는 자|Mold Eater|Mangeur de moisissures
|||||||||
|||||||||
