[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
filter_all|All|Kaikki|Tudo|Все|所有|すべて|모두|Alle|Tout
filter_chests_and_keys|Chests|Arkut|Baús|Сундуки|箱子|チェスト|상자|Truhen|Coffres
filter_items|Items|Esineet|Itens|Предметы|物品|アイテム|아이템|Gegenstände|Objets
owned|Owned|Omistettu|Obtidos|В собственности|国有|所有|소유|Erworben|Acquis
not_purchased|Not Purchased|Ei Ostettu|Não Comprado|Не куплено|未购买|購入していません|구입하지|Nicht gekauft|Pas acheté
class|Class|Luokka|Classe|Класс|类|クラス|수업|Klasse|Classe
skin|Skin|Ulkoasu|Skin|Скин|皮肤|肌|피부|Skin|Apparence
companion|Companion|Kumppani|Companheiro|Компаньон|伴侣|コンパニオン|동반자|Begleiter|Compagnon
rank|Rank|Sijoitus|Rank|Ранг|秩|順位|계급|Rang|Classement
mage|Mage|Velho|Mago|Маг|魔术师|メイジ|마술사|Magier|Mage
tank|Tank|Tankki|Tanque|Танк|罐|タンク|탱크|Panzer|Tank
join_own_guild|Join one of your own guilds?|Liity omaan kiltaasi?|Juntar-se a uma de suas próprias guildas?|Вступить в одну из своих гильдий?|加入您自己的公会之一？|自分のギルドに参加しませんか？|자신의 길드 중 하나에 가입 하시겠습니까?|Einer deiner eigenen Gilden beitreten?|Rejoindre une de tes propres guildes ?
resign_from_guild|Are you sure you want to resign from this guild?|Haluatko varmasti erota killasta?|Tem certeza de que quer demitir-se desta guilda?|Вы уверены, что хотите выйти из этой гильдии?|你确定你想从这个公会辞职？|あなたはこのギルドから辞任してもよろしいでしょうか？|당신은 당신이 길드에서 탈퇴 하시겠습니까?|Sind Sie sicher, dass Sie diese Gilde verlassen wollen?|Êtes-vous sûr de vouloir quitter cette guilde ?
leave_guild_prompt|Are you sure you want to leave guild|Haluatko varmasti erota killasta|Tem certeza de que deseja sair da guilda? |Вы уверены, что хотите покинуть гильдию? |你确定要离开公会吗 |本当にギルドを脱退しますか？ |길드를 탈퇴하시겠습니까? |Möchten Sie die Gilde wirklich verlassen? |Etes-vous sûr de vouloir quitter la guilde 
invited_to_guild|has invited you to join|kutsui sinut liittymään|convidou você para participar|пригласил вас присоединиться|已邀请您加入|に参加するためにあなたを招待しました|초대했습니다|hat Sie zu einer Gilde eingeladen|vous invite à rejoindre
trade_failed|Trade failed.|Vaihto epäonnistui.|Troca falhou.|Торговля не удалась.|交易失败。|トレードに失敗しました。|무역에 실패했습니다.|Handel fehlgeschlagen.|l'échanges a échoué.
other_inventory_full|Other player's inventory is full.|Toisen pelaajan reppu on täynnä.|O Inventário do outro jogador está cheio.|Инвентарь другого игрока полон.|其他玩家的库存已满。|他のプレイヤーのインベントリがいっぱいです。|다른 플레이어의 인벤토리가 꽉 찼습니다.|Inventar des anderen Spielers ist voll.|L'inventaire de l'autre joueur est plein.
inventory_full|Inventory full!|Reppu täynnä!|Inventário Cheio.|Инвентарь полный!|库存十足！|在庫いっぱい！|재고 가득!|Inventar voll!|Inventaire plein !
rank_challenger|Challenger|Haastaja|Desafiante|Челленджер|挑战者|挑戦者|챌린저|Herausforderer|Légende
rank_master|Master|Mestari|Mestre|Владелец|主|主人|마스터|Meister|Maître
rank_diamond|Diamond|Timantti|Diamante|Алмаз|钻石|ダイヤモンド|다이아|Diamant|Diamant
rank_platinum|Platinum|Platina|Platina|Платина|铂|白金|플래티넘|Platin|Platine
rank_gold|Gold|Kultaa|Ouro|Золото|金币|ゴールド|골드|Gold|Or
rank_silver|Silver|Hopea|Prata|Серебро|银|銀|실버|Silber|Argent
rank_bronze|Bronze|Pronssi|Bronze|Бронза|青铜|ブロンズ|브론즈|Bronze|Bronze
souls|Souls|Sielua|Almas|Души|灵魂|魂|영혼|Seelen|Âmes
seeds_idle|Idle Seeds|Joutilaat Siemenet|Sementes Ociosas|Простые семена|空闲种子|アイドルの種|유휴 씨|Leerlauf Samen|Graines inactives
seeds_active|Active Seeds|Aktiiviset Siemenet|Sementes Ativas|Активные семена|主动种子|活性種|활성 씨앗|Aktive Samen|Graines actives
seeds_deposit|Deposit Seeds|Talleta Siemeniä|Depositar Sementes|Депозитные семена|存款种子|預金の種|예금 씨앗|Kaution Samen|Dépôt de graines
quest_jacks_key|Jack's Key!|Jackin avain!|Chave do Jack!|Ключ Джека!|杰克的关键！|ジャックのキー！|잭의 키!|Jacks Schlüssel!|La clé de Jack !
failed|Failed!|Epäonnistui!|Falhou!|Неуспешный!|失败！|失敗しました！|실패한!|Gescheitert!|Raté !
rescue_prisoner|Rescue the Prisoner|Pelasta vanki|Resgate o Prisioneiro|Спасти заключенного|拯救犯人|囚人を救います|포로를 구출|Rettung der Gefangenen|Sauver les prisonniers
prisoner|Prisoner|Vanki|Prisioneiro|Узник|囚犯|囚人|죄인|Häftling|Prisonnier
samurai_ad|Samurai is a close combat class with lots of mobility and deadly damage!|Samurai on lähitaistelun luokka, jolla on paljon liikkuvutta ja tappavaa vahinkoa!|O Samurai é uma classe de combate corpo a corpo com muita mobilidade e danos mortais!|Самурай — класс ближнего боя, обладающий большой мобильностью и смертельным уроном!|武士是近战类有大量的流动性和致命的伤害！|サムライ は、 モビリティ と 致命的な 損傷 の たくさん の 近接 戦闘 クラスです！|사무라이는 이동성과 치명적인 손상을 많이 가진 가까운 전투 클래스입니다!|Der Samurai ist eine Nahkampf-Klasse mit viel Mobilität und tödlichen Schaden!|Le Samouraï est une classe de combat rapproché avec une grande mobilité et des dégâts mortels !
paladin_ad|Paladin is a hybrid class that can be built into a healing tank, physical damage dealer or a mage!|Temppeliritari on hybridiluokka, joka voidaan kehittää parantavaksi tankiksi, fyysiseksi vahingontuottajaksi tai velhoksi!|O Paladino é uma classe híbrida que pode ser buildada em um tanque de cura, um causador de danos físicos ou um mago!|Паладин — это гибридный класс, который можно встроить в лечащего танка, бойца физического урона или мага!|圣骑士是可以内置到愈合坦克， 物理损坏的经销商或法师的混合类！|パラディン は、 治癒 タンク、 物理的な ダメージディーラー や 魔術師 に 組み込む こと が できる ハイブリッド クラスです！|성기사 치유 탱크, 물리적 손상 대리점 또는 마법사에 내장 할 수있는 하이브리드 클래스입니다!|Der Paladin ist eine Hybrid-Klasse, welche die Rolle als heilender Tank, physischem Kämpfer oder Magier annimt!|Le Paladin est une classe hybride qui peut être soigneur, distributeur de baffes ou lanceur de sorts !
amazon_ad|Amazon is a ranged fighter with lots of burst damage, can be built to poison, lightning or physical builds!|Amatsoni on kaukotaistelija, jolla on paljon purkausvahinkoa, voidaan kehittää myrkky-, salama- tai fyysiseen taisteluun!|A Amazona é uma lutadora de longo alcance com muito dano de explosão, podendo ser buildada com veneno, raios ou builds físicas!|Амазонка — боец дальнего боя с большим взрывным уроном, может быть настроен на яд, молнию или физические сборки!|亚马逊是一个远程战斗机有很多爆发伤害的， 建成后可中毒，雷击或物理构建！|アマゾン は 多く の バーストダメージ を 持つ 遠距離 戦闘機であり、  毒、 雷、 または 物理的な ビルド に 構築 できます！|아마존, 독, 번개 또는 물리적 빌드에 파열 손상의 많은 원거리 전투기 구축 할 수 있습니다!|Die Amazone ist eine Fernkämpferin mit vielem Burst-Schaden welche mit gift, blitz oder physischem Schaden gebaut werden kann!|L'Amazone combat à distance avec de lourds dégâts en rafale, elle maîtrise les dégâts de poison, de foudre ou physique !
demon_slayer_ad|Demon Slayer is a mobile master of arms, can use guns or melee weapons! DLC also includes Demonspawn!|Pirunmetsästäjä on liikkuva aseiden mestari, joka voi käyttää pyssyjä tai lähitaisteluaseita! Lisäosa sisältää myös Pirulaisen!|O Matador de Demônios é um mestre de armas ágil, que pode usar armas de fogo ou armas melee! A DLC também inclui o Demonspawn!|Убийца Демонов — мобильный мастер оружия, может использовать огнестрельное или холодное оружие! DLC также включает в себя Demonspawn!|斩妖除魔的武器移动主，可以使用枪支或近战武器！ DLC还包括 恶魔之子！|デーモンスレイヤーは腕のモバイルマスターである、 銃や近接武器を使用することができます！ DLCも悪魔の子が含まれています！|악마 사냥꾼은 총이나 근접 무기를 사용할 수있는 무기의 모바일 마스터입니다! DLC는 데몬스폰을 포함!|Der Dämonentöter ist ein mobiler Waffenmeister der entweder Pistolen oder Nahkampfwaffen verwendet! Das DLC enthält auch die Dämonenbrut!|Le Tueur de démons est un maître d'armes agile qui utilise soit des armes a feu, soit des armes de mêlée ! Le DLC contient également la Progéniture !
demonspawn_ad|Demonspawn is a caster class with lots of AOE spells, can also fly by default! DLC also includes Demon Slayer!|Pirulainen on velhomainen luokka, jolla on paljon alueloitusja, voi lentää oletuksena! Lisäosa sisältää myös Pirunmetsästäjän!|Demonspawn é uma classe caster com muitos feitiços AOE e também pode voar por padrão! O DLC também inclui o Demon Slayer|Demonspawn — это класс заклинателя с множеством заклинаний по площади, который по умолчанию также может летать! DLC также включает в себя Demon Slayer!|恶魔之子 是施法类， 有很多影响法术的面积， 也可以在默认情况下飞！ DLC还包括斩妖除魔！|悪魔の子 もデフォルトで飛ぶことができ、 効果呪文の面積の多くが付い ているキャスタークラスです！ DLCはまた、 悪魔スレイヤーが含まれています！|데몬스폰 는 기본적으로 비행 할 수, 효과 주문의 지역의 많은 캐스터 클래스입니다! DLC는 악마 슬레이어를 포함!|Die Dämonenbrut ist eine Caster Klasse mit vielen Flächenzauber, ebenfalls fliegt Sie auch immer! Das DLC enthält auch den Dämonentöter!|La Progéniture est une classe de lanceur de sorts avec beaucoup de sorts de zone, il peut aussi voler ! Le DLC inclut également le Tueur de démons !
shaman_ad|Shaman specializes in elemental damage, has companion wolves and totems!|Shamaani erikoistuu elementaalivahinkoon, hänellä on seurasusia ja toteemeja!|O Xamã é especializado em dano elemental, tem lobos companheiros e totens!|Шаман специализируется на стихийном уроне, имеет волков-компаньонов и тотемы!|萨满专注于元素伤害， 有伴侣狼和图腾！|シャーマンは、 元素の損傷に特化し、 コンパニオンオオカミとトーテムを持っています！|주술사가 원소 피해 전문, 동반자 늑대 토템이있다!|Der Schamane ist in Elementarschaden spezialisiert, wird von Wölfen und Totems begleitet!|Le Chaman est spécialisé dans les dégâts élémentaires, il est accompagné de loups et de totems !
marauder_ad|Marauder is the ultimate war machine, specializing in mobility, explosives and stunning enemies!|Ryöväri on ylivoimainen sotakone, joka erikoistuu liikkuvuuteen, räjähteisiin ja vihollisten tainnutukseen!|O Saqueador é a máquina de guerra definitiva, especializada em mobilidade, explosivos e atordoar inimigos!|Мародер — совершенная военная машина, специализирующаяся на мобильности, взрывчатке и оглушении врагов!|掠夺者是最终的战争机器， 专业性， 炸药和令人惊叹的敌人！|マローダーは、 モビリティ、 爆発物や見事な敵に特化した、 究極の戦争マシンです！|약탈자는 궁극적 인 전쟁 기계 이동성, 폭발물과 멋진 원수 전문!|Der Marodeur ist die ultimative Kampfmaschine, spezialisiert auf Mobilität, Sprengstoffe und die Betäubung von Feinden!|Le Maraudeur est la machine de guerre ultime, spécialisée dans la mobilité, les explosifs et l'étourdissement des ennemis !
plague_doctor_ad|Plague Doctor specializes in spreading the plague, dealing DOT damage and breathing fire!|Ruttolääkäri erikoistuu ruton levittämiseen, vahinkoon ajan myötä ja tulen syöksemiseen!|O Doutor da Peste é especializado em espalhar a praga, causando dano ao longo do tempo e cuspindo fogo!|Чумной Доктор специализируется на распространении чумы, нанесении точечного урона и огненном дыхании!|瘟疫医生专门传播瘟疫， 造成伤害随着时间的推移和喷火！|ペスト医師は、 疫病を拡散時間をかけてダメージを与え、 火災の呼吸を専門に！|전염병 의사, 전염병 확산 시간이 지남에 따라 피해를 입히고 불을 호흡을 전문으로!|Der Pest-Doktor spezialisiert sich darin DOTs mit der Pest und Feuerspuckendem Atem zu verbreiten!|Le Médecin de Peste est spécialisé dans la propagation de la peste, infligeant des dégâts sur le temps et crachant du feu !
lancer_ad|Shield Lancer is an extremely tanky class specializing in returning damage and taunting enemies!|Kilpiseivästäjä on erittäin tankkimainen luokka, joka erikoistuu vahingon palauttamiseen ja vihollisten hämäämiseen!|Lanceiro de Escudo es una clase extremadamente voluminosos especializada en la devolución de los daños y provocando a los enemigos!|Shield Lancer — чрезвычайно танковый класс, специализирующийся на нанесении урона и насмешках над врагами!|盾蓝瑟是专门返回损坏和嘲 弄敌人一个非常庞大的类！|シールドランサーはダメージを返すと敵を ばかに特化した非常にかさばるクラスです！|쉴드 랜서 피해를 반환하고 원수를 조롱을 전문으로 매우 부피가 큰 클래스입니다!|Der Schild-Lanzenträger ist eine extrem robuste Klasse welche sich auf das Verspotten von Gegnern und die Reflexion ihres Schadens konzentriert!|Le Lancier est une classe extrêmement résistante, spécialisée dans le renvoi des dégâts et l'art de la provocation !
jotunn_ad|Jötunn is a Warrior Mage who specializes in ice spells and the power of lightning!|Jötunn on soturimage, joka on erikoistunut jääloitsuihin ja salaman voimaan!|O Lanceiro é uma classe extremamente tanque, especializada em devolver o dano e provocar inimigos!|Йотунн — воин-маг, специализирующийся на ледяных заклинаниях и силе молнии!|Jötunn 是一名擅长冰法术和闪电力量的战士法师！|ヨトゥンは氷の呪文と雷の力を専門とする戦士魔術師です！|요툰은 얼음 주문과 번개의 힘을 전문으로 하는 전사 마법사입니다!|Jötunn ist ein Kriegermagier, der sich auf Eiszauber und die Macht des Blitzes spezialisiert hat!|Jötunn est une mage guerrière spécialisée dans les sorts de glace et le pouvoir de la foudre !
illusionist_ad|Illusionist is the master of Sand and Time. She summons and controls Sand Guardians as well as bends time and space!|Illusionisti on hiekan ja ajan mestari. Hän kutsuu ja hallitsee Sand Guardians sekä taivuttaa aikaa ja tilaa!|A Ilusionista é a mestra da areia e do tempo. Ela convoca e controla os guardiões de areia, além de dobrar o tempo e o espaço!|Иллюзионистка — повелительница Песка и Времени. Она призывает и управляет Песчаными Хранителями, а также изгибает время и пространство!|幻术师是沙与时间的主人。她召唤并控制沙之守护者，并扭曲时间和空间！|イリュージョニストは砂と時間の達人です。砂の守護者を召喚して操り、時空を歪めます！|일루셔니스트는 모래와 시간의 달인입니다. 그녀는 모래 수호자를 소환하고 조종하며 시간과 공간을 휘두릅니다!|Die Illusionistin ist die Meisterin von Sand und Zeit. Sie beschwört und kontrolliert Sandwächter und verbiegt Zeit und Raum!|L'illusionniste est la maîtresse du sable et du temps. Elle invoque et contrôle les gardiens du sable et maîtrise le temps et l'espace !
butcher_ad|The Butcher epitomizes brute strength and an insatiable thirst for carnage. With each strike of his trusty cleaver, he revels in the symphony of bloodshed. Fueled by a primal urge to rend flesh and crush bone, the Butcher is both feared and revered on the battlefield.|Butcher edustaa raakaa voimaa ja kyltymätöntä verilöylynhimoa. Hän nauttii verenvuodatuksen sinfoniasta jokaisella luotettavan halkaisijansa iskulla. Teurastajaa pelätään ja kunnioitetaan taistelukentällä.|O Açougueiro é o epítome da força bruta e de uma sede insaciável por carnificina. A cada golpe de seu fiel cutelo, ele se diverte com a sinfonia do derramamento de sangue. Alimentado por um desejo primitivo de rasgar carne e esmagar ossos, o Açougueiro é temido e reverenciado no campo de batalha.|Мясник олицетворяет грубую силу и ненасытную жажду резни. С каждым ударом своего верного тесака он наслаждается симфонией кровопролития. Подпитываемый первобытным желанием разрывать плоть и крушить кости, Мясник одновременно боится и почитается на поле боя.|屠夫是蛮力和对屠杀的无尽渴望的化身。他每次挥动他那把值得信赖的切肉刀，都沉浸在血腥的交响乐中。屠夫被撕裂血肉和粉碎骨头的原始冲动所驱使，在战场上既令人恐惧又令人崇敬。|ブッチャーは野蛮な力と飽くなき殺戮への渇望の象徴です。頼りになる包丁で一撃ごとに、彼は流血のシンフォニーを楽しみます。肉を引き裂き骨を砕く原始的な衝動に駆り立てられたブッチャーは、戦場で恐れられ、崇拝されています。|도살자는 난폭한 힘과 끝없는 학살의 갈증을 상징합니다. 그는 믿음직한 도끼로 일격을 가할 때마다 피의 교향곡을 즐깁니다. 살을 찢고 뼈를 부수려는 원초적인 충동에 의해 도살자는 전장에서 두려움과 존경을 동시에 받습니다.|Der Schlächter verkörpert rohe Kraft und einen unstillbaren Durst nach Blut. Mit jedem Schlag seines treuen Hackbeils schwelgt er in der Symphonie des Blutvergießens. Angetrieben von einem urtümlichen Drang, Fleisch zu zerreißen und Knochen zu zerschmettern, wird der Schlächter auf dem Schlachtfeld sowohl gefürchtet als auch verehrt.|Le boucher incarne la force brute et une soif insatiable de carnage. À chaque coup de son fidèle couperet, il se délecte de la symphonie du sang versé. Alimenté par un besoin primaire de déchirer la chair et d'écraser les os, le boucher est à la fois craint et vénéré sur le champ de bataille.
exo_ad|The Prophet of the sun and moon. She embodies the celestial duality of light and darkness, inflicting freezing cold damage and burning her enemies to cinders. She can control the power of the solar system leaving behind a trail of absolute destruction.|Auringon ja kuun profeetta. Hän ilmentää valon ja pimeyden taivaallista kaksinaisuutta aiheuttaen jäätävää kylmää vahinkoa ja polttaen vihollisensa tuhkaksi. Hän voi hallita aurinkokunnan voimaa jättäen taakseen täydellisen tuhon jäljen.|A Profeta do sol e da lua. Ela incorpora a dualidade celestial de luz e escuridão, infligindo dano de frio congelante e reduzindo seus inimigos a cinzas. Ela pode controlar o poder do sistema solar, deixando para trás um rastro de destruição absoluta.|Пророк солнца и луны. Она воплощает небесную двойственность света и тьмы, нанося ледяной урон и сжигая своих врагов дотла. Она может контролировать силу солнечной системы, оставляя за собой след абсолютного разрушения.|太阳和月亮的先知。她体现了光明与黑暗的天体二元性，造成冰冷的伤害并将敌人烧成灰烬。她可以控制太阳系的力量，留下一串绝对的毁灭。|太陽と月の預言者。彼女は光と闇の天界の二重性を体現し、凍てつくような冷気のダメージを与え、敵を灰に焼き尽くします。彼女は太陽系の力を制御でき、完全な破壊の跡を残します。|태양과 달의 예언자입니다. 그녀는 빛과 어둠의 천상의 이중성을 구현하여 얼어붙는 냉기 피해를 입히고 적을 재로 태웁니다. 그녀는 태양계의 힘을 조종하여 절대적인 파괴의 흔적을 남길 수 있습니다.|Die Prophetin der Sonne und des Mondes. Sie verkörpert die himmlische Dualität von Licht und Dunkelheit, fügt eiskalten Schaden zu und verbrennt ihre Feinde zu Asche. Sie kann die Macht des Sonnensystems kontrollieren und eine Spur absoluter Zerstörung hinterlassen.|La prophétesse du soleil et de la lune. Elle incarne la dualité céleste de la lumière et des ténèbres, infligeant des dégâts de froid glacial et réduisant ses ennemis en cendres. Elle peut contrôler la puissance du système solaire, laissant derrière elle une traînée de destruction absolue.
stormweaver_ad|The Stormweaver commands the tempestuous power of thunder and lightning, shocking through the undead with electrifying grace. With each crack of thunder and flash of lightning she leaves the battlefields full of steaming ash.|Stormweaver hallitsee ukkonen ja salaman myrskyisää voimaa, jyllääen epäkuolleiden läpi sähköistävällä armolla. Jokaisella ukkonen ja salaman välähdyksellä hän jättää taistelukentät täynnä höyryävää tuhkaa. |A Tecelã das Tempestades comanda o poder tempestuoso do trovão e do relâmpago, chocando os mortos-vivos com uma graça eletrizante. A cada estalo de trovão e clarão de relâmpago, ela deixa os campos de batalha cheios de cinzas fumegantes.|Ткач бурь управляет бурной силой грома и молнии, потрясая нежить с электризующей грацией. С каждым раскатом грома и вспышкой молнии она оставляет поля сражений, полные дымящегося пепла. |风暴编织者掌控雷电的暴风雨力量，以令人震惊的优雅震撼亡灵。每当雷声轰鸣、闪电劈过，战场上就会充满冒着热气的灰烬。 |ストームウィーバーは雷と稲妻の激しい力を操り、電撃的な優雅さでアンデッドに衝撃を与えます。雷鳴と稲妻の閃光が響くたびに、彼女は戦場を蒸気の立ち上る灰で満たします。 |스톰위버는 천둥과 번개의 폭풍우 같은 힘을 지휘하여 전기적 우아함으로 언데드를 충격에 빠뜨립니다. 천둥이 울릴 때마다, 번개가 칠 때마다 그녀는 전장을 증기가 나는 재로 가득 채운다. |Der Sturmweber beherrscht die stürmische Macht von Donner und Blitz und schockiert die Untoten mit elektrisierender Anmut. Mit jedem Donnerschlag und Blitz hinterlässt sie ein Schlachtfeld voller dampfender Asche. |La tisse-tempête commande le pouvoir tempétueux du tonnerre et de la foudre, choquant les morts-vivants avec une grâce électrifiante. À chaque coup de tonnerre et à chaque éclair, elle laisse les champs de bataille remplis de cendres fumantes. 
monster|Monster|Hirviö|Monstro|Монстр|怪物|モンスター|괴물|Monster|Monstre
relic|Relic|Aarre|Relíquia|Реликвия|遗迹|遺物|유물|Relikt|Relique
upgrade_token_desc|Used to upgrade Satanic items.|Käytetään saatanillisten esineiden päivittämiseen.|Usado para melhorar Itens Satânicos.|Используется для улучшения сатанинских предметов.|用来升级撒旦项目。|悪魔のアイテムをアップグレードするために使用します。|사탄 항목을 업그레이드하는 데 사용됩니다.|Wird dazu verwendet Satanische Gegenstände aufzurüsten.|Utilisé pour améliorer les objets sataniques.
reroll_token_desc|Re-rolls the quality of an item.|Arpoo esineen laadun uudelleen.|Rola a qualidade de um item.|Изменяет качество предмета.|重辊的物品的质量。|アイテムは再ロール。|항목의 품질을 다시 롤.|Rerollt die Qualität eines Gegenstandes.|Permet de relancer la qualité d'un objet.
offensive_token_desc|Adds a random ability to a Weapon.|Lisää satunnaisen taidon Aseeseen.|Adiciona uma habilidade aleatória para uma arma.|Добавляет случайную способность к оружию.|添加一个随机的能力的武器。|武器へのランダム機能を追加します。|무기에 임의의 기능을 추가합니다.|Gibt einer Waffe eine zufällig Fähigkeit.|Ajoute une capacité aléatoire à une arme.
satanic_dice_desc_one|Chance to increase the quality of an item or corrupt it.|Mahdollisuus parantaa esineen laatua tai korruptoida se.|Chance de aumentar a qualidade de um item ou corrompê-lo.|Шанс повысить качество предмета или испортить его.|机会增加一个项目或损坏它的质量。|アイテムの品質、または破損し、 それを向上させるチャンス。|기회는 항목이나 손상 그것의 품질을 증가시킵니다.|Chance die Qualität eines Gegenstandes zu steigern, oder den Gegenstand zu verderben.|Possibilité d'augmenter la qualité d'un objet ou de le corrompre.
satanic_dice_desc_two|Item has to be max level|Esineen tulee olla maksimitasolla|Item precisa estar no nível máximo|Предмет должен быть максимального уровня.|项目必须是最高等级|項目は最大レベルである必要があります|항목 최대 수준이어야한다|Gegenstand muss die maximale Stufe erreicht haben|L'objet doit être de niveau maximum
requires_mining|Requires Mining|Vaatii louhimistaidon|Requer Mineração|Требуется майнинг|需要开采水平|採掘レベルが必要です|광산 요구 레벨|Benötigt Bergbau|Nécessite Extraction
requires_jewelcrafting|Requires Jewelcrafting|Vaatii korutyötaidon|Requer Joalheria|Требуется ювелирное дело|需要珠宝加工|宝石細工が必要|보석 제작 필요|Erfordert Juwelierkunst|Nécessite Joaillerie
requires_enchanting|Requires Enchanting|Vaatii lumousstaidon|Requer Encantamento|Требуется наложение чар|需要附魔|エンチャントが必要|마법 부여 필요|Erfordert Verzauberkunst|Nécessite Enchantement
requires_herbalism|Requires Herbalism|Vaatii yrttitaidon|Requer Herbalismo|Требуется травничество|需要草药学|薬草学が必要|약초학 필요|Erfordert Kräuterkunde|Nécessite Herboristerie
requires_fishing|Requires Fishing|Vaatii kalastustaidon|Requer Pescaria|Требуется рыбалка|需要钓鱼 |釣りが必要 |낚시 필요 |Erfordert Angeln |Nécessite Pêche
extra_space_dlc|Get More Space|Lisätilaa|Obter Mais Espaço|Получите больше места|更多空间|より多くの スペース|더 많은 공간|Mehr Stauraum holen|Obtenir davantage d'espace
price|Price|Hinta|Preço|Цена|价钱|価格|가격|Preis|Prix
price_free|FREE|ILMAINEN|GRÁTIS|БЕСПЛАТНО|自由|自由|비어 있는|KOSTENLOS|GRATUIT
blocked|Blocked|Estetty|Bloqueado|Заблокировано|受阻|ブロックされました|막힌|Blockiert|Bloqué
miss|Miss|Huti|Errou|Miss|避免|避ける|기피|Verfehlt|Raté
immune|Immune|Immuuni|Imune|Иммунитет|免疫的|免疫|면역|Immun|Immunisé
negated|Negated|Mitätöity|Negado|Отрицано|否定|否定|부정|Negiert|Ignoré
accept|Accept|Hyväksy|Aceitar|Принимать|接受|受け入れます|수락|Akzeptieren|Accepter
decline|Decline|Kieltäydy|Recusar|Отклонить|垃圾|ごみ|폐물|Verweigern|Refuser
disconnected|Disconnected|Yhteys katkaistu|Desconectado|Отключено|断开|切断|분리|Getrennt|Déconnecté
version_mismatch|Version mismatch.|Versio ei täsmää.|Incompatibilidade de Versão.|Несоответствие версий.|版本不匹配。|バージョンが一致しません。|버전 불일치.|Versionskonflikt.|Erreur de version.
identification_error|Identification error.|Tunnistamisvirhe.|Erro de identificação.|Ошибка идентификации.|识别错误。|識別エラー。|식별 오류입니다.|Identifikationsfehler.|Erreur d'identification.
item_max|MAX|MAX|MÁX|МАКС|最大|最大|최고|MAX|MAX
item_corrupted|Corrupted|Korruptoitunut|Corrupto|Испорченный|腐败的|形無し|손상된|Verdorben|Corrompu
item_forged|Forged||||||단조||
login_connection_error|Connection failed.|Yhteys epäonnistui.|Falha na conexão.|Соединение не удалось.|连接失败。|接続に失敗しました。|연결에 실패.|Verbindung fehlgeschlagen.|Échec de la connexion.
login_internet_error|No Internet connection.|Ei Internet-yhteyttä.|Sem conexão à Internet.|Нет соединения с интернетом.|没有网络连接。|いいえ、インターネット接続されていません。|인터넷에 연결되지 않음.|Keine Internetverbindung.|Pas de connexion Internet.
login_validation_error|VALIDATION ERROR|TARKISTUSVIRHE|ERRO DE VALIDAÇÃO|ОШИБКА ПРОВЕРКИ|验证错误|検証エラー|유효성 검사 오류|VALIDIERUNGSFEHLER|ERREUR DE VALIDATION
login_account_error|ACCOUNT ERROR|TILIVIRHE|ERRO DE CONTA|ОШИБКА АККАУНТА|帐号错误|アカウントエラー|계정 오류|KONTOFEHLER|ERREUR DE COMPTE
found_mystery_hat|Found a Mystery Hat!|Löysit Mysteerihatun!|Encontrei um chapéu misterioso!|Нашел загадочную шляпу!|发现神秘的帽子！|謎の帽子を見つけました！|신비의 모자를 발견!|Einen geheimen Hut gefunden!|Un chapeau secret trouvé !
server_connection_failed|Server connection failed.|Palvelinyhteys epäonnistui.|Falha na conexão do servidor.|Соединение с сервером не удалось.|服务器连接失败。|サーバーの接続に失敗しました。|서버 연결에 실패했습니다.|Server-Verbindung fehlgeschlagen.|La connexion au serveur a échoué.
server_shutting_down|Server shutting down soon|Palvelin suljetaan pian|Servidor será desligado em breve|Сервер скоро отключится|服务器即将关闭|サーバーすぐにシャットダウン|서버 곧 종료|Server fährt bald herunter|Le serveur va bientôt fermer
server_no_response|No response from server.|Ei vastausta palvelimelta.|Sem resposta do servidor.|Нет ответа от сервера.|从服务器无响应。|サーバーからの応答がありません。|서버에서 응답이 없습니다.|Keine Antwort vom Server.|Pas de réponse du serveur.
server_kicked|Kicked from the server.|Potkittu palvelimelta.|Expulso do servidor.|Выкинули с сервера.|从服务器踢。|サーバから蹴りました。|서버에서 추방.|vom Server gekickt.|Expulsé du serveur.
server_not_unlocked|Difficulty not unlocked!|Vaikeusaste ei ole avattuna!|Dificuldade não desbloqueada!|Сложность не разблокируется!|难度不解锁！|難易度のロックを解除していません！|어려움은 없습니다 잠금을 해제!|Schwierigkeitsgrad nicht freigeschaltet!|Difficulté non débloquée !
server_full|Server is full.|Palvelin on täynnä.|Servidor está cheio.|Сервер заполнен.|服务器已满。|サーバーがいっぱいです。|서버가 가득 찼습니다.|Server ist voll.|Le serveur est plein.
server_password|Enter password:|Kirjoita salasana:|Digite a senha:|Введите пароль:|输入密码：|パスワードを入力する：|암호를 입력:|Passwort eingeben:|Saisissez le mot de passe :
multiplayer_disabled|Online multiplayer is currently disabled.|Moninpeli ei ole käytössä tällä hetkellä.|O modo multijogador online está desativado no momento.|Многопользовательская онлайн-игра в настоящее время отключена.|目前在线多人被禁用。|オンラインマルチプレイヤー は 現在 無効 に なって います。|온라인 멀티는 현재 사용할 수 없습니다.|Online-Multiplayer ist derzeit deaktiviert.|Le multijoueur en ligne est actuellement désactivé.
