[npc]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_halloween_1|Hello there beauty... Would you kindly help me with something? Oh, aren't you as sweet as a pumpkin pie!|Hei kaunokainen... Olisitko kiltti ja auttaisit minua yhden asian kanssa? Sinähän olet herttainen kuin kurpitsapiiras!|Olá, gracinha… Por gentileza, poderia me ajudar com algo? Oh, você é tão doce quanto uma torta de abóbora!|Привет, красавица... Не могла бы ты мне кое с чем любезно помочь? О, разве ты не сладкая, как тыквенный пирог!|你好美... 请你把和帮助我的东西？ 哦， 是不是你甜如南瓜派！|こんにちは美... う、 あなたはそこに親切にすると何かのヘルプを私に？ ああ、 あなたはパンプキンパイのように甘いようではありません！|안녕하세요 아름다움... 겠습니까 당신이 도움이 내게 뭔가 친절하고? 오, 당신은 호박 파이 달콤한으로하지 않습니다!|Hallo es Schönheit... würden Sie Art und helfen Sie mir mit etwas? Oh, bist du nicht so süß wie ein Kürbiskuchen!|Bonjour mon choux... Pourriez-vous m'aider à faire quelque chose ? Oh, n'êtes-vous pas aussi douce qu'une tarte à la citrouille ?
quest_halloween_2|All girls want a present every now and then. Would you kindly get me one?|Kaikki tytöt haluavat lahjan silloin tällöin. Voisitko hankkia minulle sellaisen?|Todas as meninas querem um presente de vez em quando. Por gentileza, poderia me dar um?|Все девушки время от времени хотят подарок. Не могли бы вы сделать мне такой?|所有女孩都希望礼物飘飞。 你会得到我吗？|すべての女の子は、 すべての今して存在を求めています。 あなたは私のものを得るだろうか？|모든 여자는 모든 이제 다음 선물을합니다. 당신은 나에게 하나를 얻을 것인가?|Alle Mädchen wollen ein Geschenk ab und zu. Würden Sie bekommen mich ein?|Toutes les filles veulent un cadeau de temps en temps. Voulez-vous bien m'en offrir un ?
quest_halloween_3|I'm sick of those chickens. I can hear them all the way from the frozen land. Pluck their feathers for me, I have an idea.|Olen kyllästynyt noihin kanoihin. Voin kuulla ne jäätyneestä maasta asti. Höyhennä ne puolestani, minulla on idea.|Estou cansado dessas galinhas. Posso ouvi-las desde a terra congelada. Arranque suas penas para mim, tenho uma ideia.|Меня тошнит от этих цыплят. Я слышу их даже с замерзшей земли. Ощипите им перья для меня, у меня есть идея.|我生病的鸡。 我能听到他们从冷冻土地的所有道路。 摘下自己的羽毛对我来说， 我有一个想法。|私はそれらの鶏の病気です。 私は彼らに凍結された土地からすべての方法を聞くことができます。 私のために彼らの羽を摘み取る、 私はアイデアを持っています。|나는 그 닭의 병입니다. 나는 얼어 붙은 땅에서 모든 방법을들을 수 있습니다. 나를 위해 자신의 깃털을 뽑아, 나는 생각이 있어요.|Ich bin krank von diesen Hühnern. Ich kann sie den ganzen Weg aus dem gefrorenen Boden hören. Zupfen ihre Federn für mich, ich habe eine Idee.|J'en ai marre de ces poulets. Je les entends depuis la terre gelée. Arrache leurs plumes pour moi, j'ai une petite idée...
quest_halloween_4|Don't you just hate Grim Reaper? He takes care of the dead but now he is trying to control the living. Go show him who is the boss!|Etkö vain vihaa Viikatemiestä? Se pitää huolta kuolleista, mutta nyt se yrittää hallita eläviä. Näytä sille kuka on pomo!|Você não odeia o Ceifador? Ele cuida dos mortos, mas agora está tentando controlar os vivos. Mostre a ele quem é o chefe!|Разве ты просто не ненавидишь Мрачного Жнеца? Он заботится о мертвых, но теперь пытается контролировать живых. Иди, покажи ему, кто здесь главный!|你不只是讨厌的死神？ 他照顾死者， 但现在， 他正试图控制生活。 去告诉他谁是老大！|あなただけの死神を憎むないのですか？ 彼は死んだの世話をするが、 今、 彼は生活をコントロールしようとしています。 ゴーは上司が誰であるか、 彼を見ます！|당신은 단지 죽음의 신 싫어하지? 그는 죽음을 담당하지만 지금은 생활을 제어하기 위해 노력하고있다. 이동 보스 누가 그를 보여!|Nicht nur Sie den Sensenmann hassen? Er kümmert sich um die Toten, aber jetzt ist er versucht, das Leben zu steuern. Gehen Sie ihm zeigen, wer hier der Chef ist!|Tu ne détestes pas la [c_red]Faucheuse sinistre[c_reset] ? Elle s'occupe des morts, mais maintenant elle essaie de contrôler les vivants. Montre-lui qui est le patron !
quest_halloween_5|A lot of interesting creatures live in the desert. I want to study what I could do with them. Or with their body parts, hehe.|Paljon mielenkiintoisia otuksia elää aavikolla. Haluan tutkia mitä voin tehdä niiden kanssa. Tai niiden ruumiin osilla, hehe.|Muitas criaturas interessantes vivem no deserto. Quero estudar o que eu poderia fazer com elas. Ou com as partes de seus corpos, hehe.|В пустыне живет много интересных существ. Я хочу изучить, что я мог бы с ними сделать. Или с частями их тела, хе-хе.|很多有趣的动物生活在沙漠中。 我想学什么， 我可以与他们无关。 或者用他们的身体部位， 嘿嘿。|面白い生き物の多くは砂漠に住んでいます。 私は彼らと何ができるか勉強したいです。 それとも自分の体の部分と、 笑。|재미있는 생물의 많은 사막에 살고 있습니다. 나는 그들과 함께 무엇을 할 수 있는지 연구하고 싶다. 또는 자신의 신체 부위와, 도니는 다르게.|Viele interessante Geschöpfe leben in der Wüste. Ich möchte studieren, was ich mit ihnen machen könnte. Oder mit ihren Körperteilen, hehe.|Beaucoup de créatures intéressantes vivent dans le désert. J'aimerais étudier ce que je pourrais faire avec elles. Ou avec les [c_yellow]parties de leur corps[c_reset], héhé.
quest_halloween_6|Another lord of Death is threatening me. Can you believe that?! I'm just a young beautiful lady. Will you help a lady in need?|Toinenkin kuoleman herra uhkailee minua. Voitko uskoa?! Olen vain nuori kaunis neito. Autatko tätä neitoa avun tarpeessa?|Outro senhor da Morte está me ameaçando. Dá para acreditar nisso?! Sou apenas uma jovem e bela dama. Você ajudaria uma senhora em necessidade?|Еще один повелитель Смерти угрожает мне. Ты можешь в это поверить?! Я просто молодая красивая леди. Ты поможешь даме в беде?|死亡的另一个主恐吓我。 你相信吗？！ 我只是一个年轻美丽的女人。 你会帮助有需要的女士？|死のもう一つの主が私を脅かしています。 あなたはそれを信じることができます！ 私は若く美しい女性です。 あなたは必要としている女性を助けるだろうか？|죽음의 또 다른 주인은 저를 위협하고있다. 믿을 수 있니?! 난 그냥 젊은 아름 다운 여자입니다. 당신이 필요로하는 여성을 도울 것인가?|Ein anderer Herr des Todes bedroht mich. Kannst du das glauben?! Ich bin nur eine junge schöne Dame. Werden Sie eine Dame in Not helfen?|Un autre seigneur de la mort me menace. C'est incroyable ! Je ne suis qu'une belle jeune femme. Voulez-vous aider une femme dans le besoin ?
quest_halloween_7|Damien approached me and it sounded like thousand heads were yelling at me. I have something for you to shut those heads up!|Damien lähestyi minua ja se kuulosti siltä kuin tuhat päätä olisi huutanut minulle. Minulla on sinulle jotain, jolla tukkia ne päät!|Damien se aproximou de mim e parecia que milhares de cabeças estavam gritando comigo. Tenho algo para você calar essas cabeças!|Дэмиен подошел ко мне, и это прозвучало так, словно на меня орали тысячи голов. У меня есть кое-что для вас, чтобы заткнуть эти головы!|达米安走近我， 这听起来像万头都在我吼。 我有东西给你关闭那些头了！|ダミアンは私に近づき、 私に叫んでたことは千頭のように聞こえました。 私はあなたがそれらの頭を黙ら せのために何かを持っています！|데미안이 나에게 접근과 천과 같은 머리 소리지르 된 소리가났다. 나는 당신이 그 머리를 종료 할 뭔가가있다!|Damien kam auf mich zu und es klang wie tausend Köpfe mich brüllten. Ich habe etwas für Sie, diese Köpfe oben schließen!|[c_red]Damien[c_reset] s'est approché de moi et on aurait dit que des milliers de têtes me criaient dessus. J'ai quelque chose à te proposer pour faire taire ces têtes !
|||||||||
[Valhalla Side Quest]|||||||||
dialog_valhallaHungryHaldor|One more thing! You just got here so you must be hungry! I have a small campfire right here, and I think you should eat something. There is a rumor of a Legendary Boar roaming around here, see if you can slay him for food!||Mais uma coisa! Você acabou de chegar aqui, então deve estar com fome! Tenho uma pequena fogueira bem aqui e acho que você deveria comer alguma coisa. Há um boato de que há um javali lendário andando por aqui, veja se você consegue matá-lo para comer!|И еще кое-что! Вы только что пришли, так что, должно быть, проголодались! У меня прямо здесь разведен небольшой костер, и я думаю, вам следует что-нибудь съесть. Ходят слухи о Легендарном Кабане, бродящем здесь, посмотрим, сможешь ли ты убить его ради еды!|||한 가지 더! 막 도착해서 배가 고플 거야! 여기 작은 모닥불이 있으니 뭔가 먹어야 해. 이 근처에 전설의 멧돼지가 돌아다닌다는 소문이 있어, 그를 잡아서 먹을 수 있는지 확인해봐!||Encore une chose ! Vous venez d'arriver, vous devez avoir faim ! J'ai fait un petit feu de camp ici, et je pense que vous devriez manger quelque chose. La rumeur dit qu'un [c_red]sanglier légendaire[c_reset] rôde dans les parages, essaie de le tuer pour te nourrir !
dialog_valhallaHungryHaldor_end|By Odin’s beard, that is a good looking beef! Care to share some, traveler?||Pelas barbas de Odin, essa é uma carne de boa aparência! Poderia compartilhar um pouco, viajante?|Клянусь бородой Одина, какая аппетитная говядина! Не хочешь поделиться, путешественник?|||오딘의 수염에 맹세코, 정말 맛있어 보이는 소고기군요! 여행자님, 조금 나눠주실래요?||Par la barbe d'Odin, c'est un beau morceau de viande! Tu veux en partager un peu, voyageur ?
dialog_valhallaHurrdurr|Heyyyyyy! You! Yes, you! I am Hurrdurr and I love riding my mining cart all over the place. Some mean monsters just stole the wheels of my cart and left laughing. Can you believe that? Please find the wheels and attach them back to my cart so I can go [shake_letter][c_yellow]fast![c_reset][shake_reset]||Oi! Você! Sim, você! Meu nome é Hurrdurr e adoro andar com meu carrinho de mineração por toda parte. Alguns vikings malvados acabaram de roubar as rodas do meu carrinho, dá para acreditar? Ajude-me a encontrá-las e prendê-las de volta ao meu carrinho para que eu possa andar rápido!|Привет! Ты! Да, ты! Меня зовут Хуррдурр, и я люблю разъезжать на своей шахтерской тележке повсюду. Какие-то злые викинги только что украли колеса моей тележки, ты можешь в это поверить? Помоги мне найти и прикрепить их обратно к моей тележке, чтобы я мог ехать быстро!|||헤이! 너! 그래, 너! 난 허르더르라고 해. 난 내 광산 수레를 타고 여기저기 돌아다니는 걸 좋아해. 그런데 어떤 나쁜 몬스터들이 내 수레의 바퀴를 훔쳐가고는 웃으면서 떠났어. 믿을 수 있겠어? 제발 바퀴를 찾아서 내 수레에 다시 달아줘서 내가 [shake_letter][c_yellow]빨리[c_reset][shake_reset] 갈 수 있게 해줘!||Bonjour ! Vous ! Oui, vous ! Je m'appelle [c_lime]Hurrdurr[c_reset] et j'adore me promener partout avec mon chariot minier. De vils vikings viennent de voler les [c_yellow]roues de mon chariot[c_reset], tu te rends compte ? Aide-moi à les retrouver et à les attacher à mon chariot pour que je puisse aller vite !
dialog_valhallaHurrdurr_end|Nice, with wheelz on this bad boy nothing is ever going to stop me!||Legal, com as rodas nesta belezinha, nada vai me parar!|Здорово, с уилзом в лице этого плохого парня меня ничто и никогда не остановит!|||좋아, 이 멋진 녀석에 바퀴가 달렸으니 이제 아무도 날 막을 수 없어!||Joli, avec ces roues sur ce bad boy, rien ne pourra jamais m'arrêter !
dialog_valhallaBaldurMuspelheim|Questii tarjolla!||Questii tarjolla!|Questii tarjolla!|||퀘스트 제공!||
dialog_valhallaBaldurMuspelheim_end|Questi ois valamis!||Questi ois valamis!|Вопрос к валамису!|||퀘스트 완료!||
dialog_valhallaFroyaSkins|Hej! I've been trying to combat these Nagas to clear out these flooded plains for rebuilding. These creatures are tough and I'd need to match that. Could you collect me some Naga scales so I can craft myself a proper armor to have a fighting chance?||Olá! Estou tentando combater esses Nagas para limpar essas planícies inundadas para reconstrução. Essas criaturas são resistentes e eu preciso me equiparar a elas. Você poderia conseguir algumas escamas de Naga para que eu possa criar uma armadura adequada para ter uma chance de lutar?|Привет! Я пытался сразиться с этими нагами, чтобы очистить эти затопленные равнины для восстановления. Эти существа выносливы, и мне нужно было бы соответствовать им. Не могли бы вы собрать мне немного чешуи нага, чтобы я мог изготовить себе подходящую броню, чтобы иметь шанс сражаться?|||안녕! 나는 이 침수된 평야를 재건하기 위해 나가들과 싸우고 있어. 이 생명체들은 정말 강력해서 나도 그에 맞서야 해. 내가 싸울 수 있는 제대로 된 갑옷을 만들 수 있도록 나가 비늘을 좀 구해줄 수 있겠어?||Hé ! J'ai essayé de combattre ces [c_red]Nagas[c_reset] pour nettoyer ces [c_aqua]Plaines inondées[c_reset] afin de pouvoir rebâtir. Ces créatures sont coriaces et j'ai besoin d'en être autant. Pourriez-vous me rapporter des [c_yellow]écailles de naga[c_reset] pour que je puisse me fabriquer une armure et avoir une chance de gagner ?
dialog_valhallaFroyaSkins_end|Your efforts are much appreciated. Once I craft this armor I'll be able to slay these Naga snakes like there is no tomorrow!||Seus esforços são muito apreciados. Quando eu criar essa armadura, poderei matar essas cobras Naga como se não houvesse amanhã!|Я высоко ценю ваши усилия. Как только я создам эту броню, я смогу убивать этих змей-нага так, словно завтра не наступит!|||당신의 노력에 진심으로 감사드립니다. 이 갑옷을 제작하면 내일이 없는 것처럼 이 나가 뱀들을 처치할 수 있을 것입니다!||Vos efforts sont très appréciés. Une fois que j'aurai fabriqué cette armure, je pourrai tuer ces serpents nagas comme s'il n'y avait pas de lendemain !
dialog_valhallaTiredViking|Hey you! Please... the sickness... of this land... it got me. I am weak... too weak to continue my journey. I... have a recipe... for healing potion... Could you... help *cough cough* me? ||Ei, você! Por favor... a doença... desta terra... me pegou. Estou fraco... fraco demais para continuar minha jornada. Eu... tenho uma receita... de poção de cura... Você poderia… *cof cof* me ajudar?|Эй, ты! Пожалуйста… болезнь ... этой земли… она доконала меня. Я слаб… слишком слаб, чтобы продолжать свой путь. У меня ... есть рецепт… целебного зелья.. Не могли бы вы… помочь *кхе-кхе-кхе* мне? |||이봐! 제발... 이 땅의... 병이... 나를 덮쳤어. 나는 약해... 너무 약해서 여행을 계속할 수 없어. 나... 치료 물약... 조리법이 있어... 도와줄 수 있겠어... *기침 기침*?||Hé, vous ! S'il vous plaît... la maladie... de cette terre... m'a atteint. Je suis faible... trop faible pour continuer mon voyage. J'ai... une recette... de potion de guérison... Pourriez-vous... m'aider *tousse tousse* ? 
dialog_valhallaTiredViking_end|You…. You came back! I can not thank you enough… Praise the old gods!||Você.… Você voltou! Não tenho palavras para lhe agradecer... Louvado seja o velho deus!|Ты…. Ты вернулся! Я не знаю, как тебя отблагодарить… Хвала старым богам!|||당신이... 당신이 돌아왔군요! 정말 감사드립니다... 고대 신들께 찬양을!||Vous.... Vous êtes revenu ! Je ne saurais trop vous remercier... Loués soient les dieux anciens !
dialog_valhallaTiredViking_01|[shake_letter][c_lime]*Chug chug chug*... I can feel it working!||[shake_letter][c_lime]*Glub glub glub*... Posso sentir que está funcionando!|[shake_letter][c_lime]*Чух-чух-чух *... Я чувствую, что это работает!|||[shake_letter][c_lime]*꿀꺽 꿀꺽 꿀꺽*... 효과가 느껴져!||[shake_letter][c_lime]*Glou glou glou*... Je sens que ça marche !
dialog_valhallaTiredViking_02|[shake_letter][c_yellow]I feel strange...||[shake_letter][c_yellow]Estou me sentindo estranho...|[shake_letter][c_yellow]Я чувствую себя странно...|||[shake_letter][c_yellow]이상한 기분이 들어...||[shake_letter][c_yellow]Je me sens bizarre...
dialog_valhallaTiredViking_03|[shake_letter][c_red]The darkness comes for you too!||[shake_letter][c_red]A escuridão também chega para você!|[shake_letter][c_red] Тьма приходит и за тобой!|||[shake_letter][c_red]어둠이 너에게도 다가온다!||[shake_letter][c_red]Les ténèbres viennent pour vous aussi !
|||||||||
odin_boss_intro|There is no denying fate.[pause,15] [pause,0][nl]It was written that one day I shall rule the afterlife as I please, and that you'd be the catalyst for my reign.[pause,15] [pause,0][nl]Today you have fulfilled your part in the plan of the ancients and I have no further use for you.[pause,30] [pause,0][nl]You are hereby banished from death![pause,30] [pause,0]||Não há como negar o destino.[pause,15] [pause,0][nl]Estava escrito que um dia eu governaria a vida após a morte como quisesse, e que você seria o catalisador do meu reinado.[pause,15] [pause,0][nl]Hoje você cumpriu sua parte no plano dos antigos e não tenho mais utilidade para você.[pause,30] [pause,0][nl]Você está banido da morte![pause,30] [pause,0]|Судьбу невозможно отрицать.[пауза, 15] [пауза, 0][nl] Было написано, что однажды я буду править загробной жизнью так, как захочу, и что ты станешь катализатором моего правления.[пауза,15] [пауза,0][nl] Сегодня ты выполнил свою часть плана древних, и ты мне больше не нужен.[пауза, 30] [пауза, 0][nl]Настоящим вы изгоняетесь из смерти![пауза,30] [пауза,0]|||운명을 부정할 수는 없다.[pause,15] [pause,0][nl]언젠가 내가 원하는 대로 사후세계를 지배할 것이며, 네가 내 통치의 촉매제가 될 것이라고 쓰여 있었다.[pause,15] [pause,0][nl]오늘 너는 고대 계획의 네 역할을 완수했고, 이제 너는 더 이상 필요하지 않다.[pause,30] [pause,0][nl]너는 죽음에서 추방되었다![pause,30] [pause,0]||Il est impossible de contrer le destin.[pause,15][pause,0][nl]Il était écrit qu'un jour je régnerais sur l'au-delà comme bon me semble, et que tu serais le point de départ de mon règne.[pause,15][pause,0][nl]Aujourd'hui, tu as rempli ton rôle dans le plan des anciens et je n'ai plus besoin de toi.[pause,30][pause,0][nl]Dès a présent, tu es banni de la mort ![pause,30][pause,0][nl]
|||||||||
helheim_npc_portal|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it... Please excuse me, I have to concentrate my power to the portal...||Esse portal nos levará para perto do rio Gjöll. Está quase pronto, só preciso de mais algum tempo para canalizá-lo. Por favor, desculpe-me, mas preciso concentrar meu poder no portal...|Этот портал перенесет нас поближе к реке Йель. Он почти готов, мне просто нужно еще несколько минут, чтобы направить его в нужное русло... Пожалуйста, извините меня, я должен сосредоточить свою силу на портале...|||이 포탈은 우리를 Gjöll 강 근처로 데려다 줄 것입니다. 거의 준비가 다 되었으니, 조금만 더 기다려 주세요... 죄송합니다만, 포탈에 제 힘을 집중해야 합니다...||Ce portail nous mènera près de la [c_aqua]Rivière Gjöll[c_reset]. C'est presque prêt, j'ai juste besoin de quelques instants supplémentaires pour le canaliser... Veuillez m'excuser, je dois concentrer mon pouvoir sur le portail...
helheim_npc_elder|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.||Amanhã continuaremos até o rio Gjöll, em direção aos portões de Helheim.|Завтра мы продолжим путь к реке Йель, к воротам Хельхейма.|||내일 우리는 헬하임의 문을 향해, 요르 강으로 계속 나아갈 것입니다.||Demain, nous poursuivrons notre route vers la rivière Gjöll, en direction des [c_aqua]Portes de Helheim[c_reset].
helheim_npc_child|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.||Estou muito animado para finalmente ver Helheim! Meus pais disseram que, finalmente, poderão descansar e brincar comigo.|Я так рад наконец увидеть Хельхайм! Мои родители сказали, что тогда они наконец смогут отдохнуть и поиграть со мной.|||헬하임을 드디어 볼 수 있어서 너무 신나! 부모님이 이제 나랑 쉬고 놀 수 있다고 하셨어.||Je suis tellement excitée à l'idée de voir enfin Helheim ! Mes parents m'ont dit qu'ils pourraient enfin se reposer et jouer avec moi.
helheim_npc_anxious|I'm done with these perilous caves and creatures… I was hoping death would be the end...||Estou farto dessas cavernas e criaturas perigosas... Eu esperava que a morte fosse o fim…|Я покончил с этими опасными пещерами и существами… Я надеялся, что смерть станет концом...|||이 위험한 동굴과 생물들은 이제 그만… 죽음이 끝이길 바랐는데...||J'en ai fini avec ces grottes périlleuses et ces créatures... J'espérais que la mort serait la fin...
helheim_npc_peaceful|Ah, will you join me and enjoy this moment of respite?||Ah, quer se juntar a mim e aproveitar esse momento de descanso?|Ах, не могли бы вы присоединиться ко мне и насладиться этим моментом передышки?|||아, 저와 함께 이 휴식의 순간을 즐기시겠습니까?||Ah, voulez-vous vous joindre à moi et profiter de ce moment de répit ?
helheim_npc_wood|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.||Eu costumava ser um lenhador... E ainda sou! Não há nada mais relaxante do que cortar madeira.|Раньше я был лесорубом... И остаюсь им до сих пор! Нет ничего более расслабляющего, чем нарубить дров.|||나는 나무꾼이었어... 그리고 지금도 그래! 나무를 자르는 것보다 더 편안한 일은 없어.||J'ai été bûcheron... Et je le suis toujours ! Il n'y a rien de plus relaxant que de couper du bois.
dialog_valhallaPurge|Well hello there!||Bem, olá!|Ну, привет всем!|||안녕하세요!||Eh bien, bonjour !
dialog_valhallaRiver|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...||Eu estava preocupado que ninguém fosse me acompanhar na travessia do rio hoje. Ultimamente, tem havido mais pessoas do que meu velho barco pode carregar. Você não viu nenhuma dessas pobres almas em seu caminho? Não importa, você já deve estar ansioso para descansar. Deixe-me atravessar seu último obstáculo...|Я волновался, что никто не будет сопровождать меня сегодня при переправе через реку. В последнее время людей стало больше, чем может вместить моя старая лодка. Неужели ты не видел никого из этих бедняг по пути? Неважно, ты, должно быть, уже хотел отдохнуть. Позволь мне помочь тебе преодолеть последнее препятствие...|||오늘 강을 건너가는 데 아무도 나와 함께하지 않을까 걱정했어요. 요즘에는 제 낡은 배가 감당할 수 있는 것보다 더 많은 사람들이 있어요. 오는 길에 그 불쌍한 영혼들을 보지 못했나요? 괜찮아요, 당신은 이미 쉬고 싶어하는 것 같네요. 마지막 장애물을 넘는 것을 도와드릴게요...||Je craignais que personne ne m'accompagne pour traverser la rivière aujourd'hui. Ces derniers temps, il y a eu plus de monde que mon vieux bateau ne peut en transporter. N'avez-vous pas vu l'un de ces pauvres âmes sur votre chemin ? Peu importe, vous deviez déjà avoir envie de vous reposer. Laissez-moi vous faire franchir le dernier obstacle...
dialog_valhallaRiver_1|Ah, it looks like our path is blocked. There must be a way to open the gate! Perhaps head to the land to see if you can find something?||||||아, 길이 막힌 것 같아요. 문을 열 방법이 있을 거예요! 주변을 살펴보면서 뭔가를 찾을 수 있을지 확인해보세요.||
dialog_valhallaRiver_2_normal|Well done! I am sure that was an easy task for a great warrior like you [heroname]. This is the last stretch. May the Allfather bless your way.||||||잘 했어! 너 같은 훌륭한 전사에게는 쉬운 일이었을 거야, [heroname]. 이제 마지막 구간이야. 만물의 아버지께서 너의 길을 축복하시길.||
dialog_valhallaRiver_2_nmhell|This is the last stretch. May the Allfather bless your way.||||||이제 마지막 구간입니다. 올파더의 축복이 함께하길.||
dialog_valhallaRiver_3|This path will lead you to the Gates of Helheim. Proceed with caution, as you never know what could be lurking ahead. Beware, even in the afterlife, you can very well get killed [heroname]…||||||이 길을 따라가면 헬헤임의 문에 도달할 것입니다. 앞에 무엇이 숨어 있을지 모르니 조심하세요. 심지어 사후 세계에서도, 당신은 충분히 죽을 수 있습니다 [heroname]...||
dialog_valhallaRiver_complete|We did it! We slayed the beast! Thank you for helping me with that. Don’t feel bad if you felt scared, most souls do when they encounter a terrifying beast.||É aqui, o portão de Helheim. Espero que aproveite sua estadia. Como se você tivesse escolha...|Вот они, ворота Хельхейма. Надеюсь, вам понравится ваше пребывание. Как будто у вас был выбор...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|우리가 해냈어! 우리가 그 괴물을 처치했어! 도와줘서 고마워. 무서웠다면 너무 자책하지 마. 대부분의 영혼들은 무서운 괴물을 마주치면 두려움을 느끼니까.|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|Nous y voilà, les [c_lime]Portes de Helheim[c_reset]. J'espère que vous apprécierez votre séjour. Comme si vous aviez le choix...
dialog_valhallaRiver_Gates|Now, go through those gates and fulfill your destiny!||||||이제, 저 문을 지나 당신의 운명을 완수하세요!||
ferryman_idle_1|Row, row, row your boat...||Reme, reme, reme seu barco...|Греби, греби, греби на своей лодке...|Row, row, row your boat...|Row, row, row your boat...|노를 저어, 저어, 저어라...|Row, row, row your boat...|Ramez, ramez, ramez sur votre bateau...
ferryman_idle_2|I'll just hang here a while, you go on and do your thing...||Vou ficar aqui um pouco, vá em frente e faça seu trabalho…|Я просто побуду здесь немного, а ты иди и делай свое дело...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|나는 여기 잠시 있을 테니, 너는 네 일을 해...|I'll just hang here a while, you go on and do your thing...|Je vais rester ici un moment, vous allez faire ce que vous avez à faire...
ferryman_lets_go|Just hop on and we'll be on our way!||Suba e nós estaremos a caminho!|Просто запрыгивай, и мы отправимся в путь!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|그냥 타면 우리가 갈 거야!|Just hop on and we'll be on our way!|Montez à bord et nous nous mettrons en route !
ferryman_shoutbox_1|By my paddle! The gate has closed! ||GAAAH!!|ГААА!!|GAAAH!!|GAAAH!!|내 노를 걸고! 문이 닫혔어!|GAAAH!!|[shake_letter]GAAAH !!!
ferryman_shoutbox_2|GAAAH! What is that?!||ATIRE!|СТРЕЛЯЙ В ЭТО!|SHOOT IT!|SHOOT IT!||SHOOT IT!|TIREZ-LUI DESSUS !
ferryman_shoutbox_3|I’m needed elsewheREEEE!! AAGH!||MATE COM FOGO!|УБЕЙТЕ ЕГО ОГНЕМ!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|다른 곳에 필요해!! 으아악!|KILL IT WITH FIRE!|CONTINUEZ DE TIRER, [shake_letter]ALLER ALLER ALLER !
ferryman_other_side|I'll meet you on the other side!||||||반대편에서 만나자!||
valhalla_troll_patrol_start|Hello there hero! Could I have a minute of your time? ||Olá, herói! Posso ter um minuto de seu tempo?|Привет, герой! Можно мне минутку твоего времени? |||안녕하세요, 영웅님! 잠시 시간을 내주실 수 있나요?||Bonjour héros ! Pourrais-je avoir une minute de votre temps ?
valhalla_troll_patrol_yes|Great, we have a small shelter here by the rocks, can you come with me, I'll show you. We can talk safely there. ||Ótimo, temos um pequeno abrigo aqui perto das rochas, pode vir comigo, vou lhe mostrar. Podemos conversar com segurança lá.|Отлично, у нас есть небольшое укрытие здесь, у скал, можешь пойти со мной, я тебе покажу. Там мы сможем спокойно поговорить. |||좋아, 여기 바위 옆에 작은 피난처가 있어요. 저와 함께 가면 보여드릴게요. 거기서 안전하게 이야기할 수 있어요.||Super, nous avons un petit abri près des rochers, vous pouvez venir avec moi, je vais vous montrer. Nous pourrons y parler en toute sécurité. 
valhalla_troll_patrol_no|Oh okay, perhaps another time then... ||Ah, tudo bem, talvez em outra hora…|О, хорошо, тогда, возможно, в другой раз... |||다음에 또 기회가 있겠죠...||Oh, d'accord, peut-être une autre fois alors... 
valhalla_troll_patrol_complete|Thank you so much, you can not imagine what help you brought to us... Our chances at surviving this place just got bigger! ||Muito obrigado, você não pode imaginar a ajuda que nos deram... Nossas chances de sobreviver a este lugar acabaram de aumentar!|Большое вам спасибо, вы не можете себе представить, какую помощь вы нам оказали... Наши шансы выжить в этом месте просто возросли! |||정말 감사합니다, 당신이 우리에게 얼마나 큰 도움을 주었는지 상상도 못할 거예요... 이곳에서 살아남을 가능성이 더 커졌어요!||Merci beaucoup, vous ne pouvez pas imaginer l'aide que vous nous avez apportée... Nos chances de survivre à cet endroit viennent de doubler ! 
valhalla_troll_patrol_trolls|Trolls! They are on to us!||Trolls! Eles estão atrás de nós!|Тролли! Они напали на наш след!|||트롤들! 그들이 우리를 알아챘어!||Les trolls ! Ils sont sur nous !
valhalla_troll_patrol_killed|That was a close one... I can not thank you enough, hero. ||Essa foi por pouco... Não tenho palavras para lhe agradecer, herói.|Это было близко к истине... Я не могу в достаточной мере отблагодарить тебя, герой. |||위험했어요... 정말 감사해요, 영웅님.||Il s'en est fallu de peu... Je ne vous remercierai jamais assez, héros. 
valhalla_troll_patrol_one_more|Do you recon we could get one more load? ||Você reconhece que podemos conseguir mais uma carga?|Как ты думаешь, мы могли бы получить еще один груз? |||우리가 한 번 더 적재할 수 있을까요?||Vous pensez qu'on pourrait avoir un chargement de plus ? 
valhalla_troll_patrol_mid|Is it done?||Acabou?|Это сделано?|||||C'est fait ?
