[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_dialog_443|In the realm of fire and lava stands Surtr, forever chained to his realm. For eons he has been dormant, turned into obsidian statue that merely displays a fraction of his burning soul. But something is happening, signs indicate he's waking up. We need a hero who could pull of the impossible: get Surtr's crown off of him, it's the source of his power. Good luck to the brave soul who might attempt this. ||No reino do fogo e da lava está Surtr, eternamente acorrentado ao seu reino. Por eras, ele ficou adormecido, transformado em uma estátua de obsidiana que exibe apenas uma fração de sua alma ardente. Mas algo está acontecendo, os sinais indicam que ele está acordando. Precisamos de um herói que consiga realizar o impossível: tirar a coroa de Surtr de cima dele, pois ela é a fonte de seu poder. Boa sorte para a alma corajosa que tentar fazer isso.|В царстве огня и лавы стоит Суртр, навеки прикованный к своему царству. Целую вечность он пребывал в спячке, превратившись в обсидиановую статую, которая отображает лишь частицу его пылающей души. Но что-то происходит, признаки указывают на то, что он просыпается. Нам нужен герой, который смог бы совершить невозможное: снять с него корону Суртра, это источник его силы. Удачи храброй душе, которая может попытаться это сделать. |||불과 용암의 영역에 서 있는 수르트는 영원히 그의 영역에 사슬로 묶여 있습니다. 수세기 동안 그는 잠들어 있었고, 그의 타오르는 영혼의 일부만을 보여주는 흑요석 동상으로 변했습니다. 하지만 무언가가 일어나고 있습니다. 징후들은 그가 깨어나고 있음을 나타냅니다. 우리는 불가능을 해낼 수 있는 영웅이 필요합니다: 그의 힘의 원천인 수르트의 왕관을 그에게서 빼앗아야 합니다. 이 도전을 시도할 용감한 영혼에게 행운을 빕니다.||Dans le royaume du feu et de la lave se tient [c_red]Surt[c_reset], à jamais enchaîné à son royaume à [c_aqua]Muspelheim[c_reset]. Depuis des lustres, il est en sommeil, transformé en statue d'obsidienne qui ne laisse s'exprimer qu'une fraction de son âme flamboyante. Mais quelque chose se passe, des signes indiquent qu'il se réveille. Nous avons besoin d'un héros capable de réaliser l'impossible : lui retirer la [c_yellow]Couronne de Surt[c_reset], qui est la source de son pouvoir. Bonne chance à l'âme courageuse qui tentera l'aventure.
|||||||||
quest_name_444|Grim Skull ||Crânio Sinistro|Мрачный Череп |||그림 스컬||Crâne sinistre
quest_description_444|Find the mystical skull in Niflhel.||Encontre a caveira mística em Niflhel.|Найдите мистический череп в Нифльхеле.|||니플헬에서 신비한 해골을 찾아라.||Trouvez le crâne mystique à Niflhel.
quest_objective_444_1|Skull collected||Caveira coletada|Собранный череп|||해골 수집됨||Crâne collecté
quest_dialog_444|There is an old tale of a great and respected warrior who lost his life and was sent to Niflhel to rot. His skull is rumored to be somewhere in there collected by the legendary beast Grimbone and it’s said to hold some mystical powers. Find the skull and return it here, perhaps we would find some use for it. ||Há uma antiga história de um grande e respeitado guerreiro que perdeu a vida e foi enviado a Niflhel para apodrecer. Há rumores de que seu crânio esteja em algum lugar lá, coletado pela lendária fera Grimbone, e dizem que ele possui alguns poderes místicos. Encontre o crânio e devolva-o aqui, talvez encontremos algum uso para ele.|Есть старая история о великом и уважаемом воине, который расстался с жизнью и был отправлен гнить в Нифльхель. Ходят слухи, что его череп находится где-то там, собранный легендарным зверем Гримбоном, и, как говорят, в нем заключены какие-то мистические силы. Найдите череп и верните его сюда, возможно, мы найдем ему какое-то применение. |||위대한 전사에 대한 오래된 이야기가 있습니다. 그 전사는 목숨을 잃고 Niflhel로 보내져 썩어갔습니다. 그의 두개골은 전설적인 괴물 Grimbone에 의해 수집되었고, 신비한 힘을 지니고 있다고 합니다. 두개골을 찾아서 이곳으로 가져오세요. 아마도 그것을 사용할 방법을 찾을 수 있을 것입니다.||Une vieille histoire raconte qu'un héros prestigieux a perdu la vie et a été envoyé à Niflhel pour y croupir. On dit que son crâne se trouve quelque part, collecté par la bête légendaire Grimbone, et qu'il renferme des pouvoirs mystiques. Trouvez le crâne et ramenez-le ici, nous pourrons peut-être l'utiliser.
|||||||||
quest_name_445|WANTED: Xor||PROCURADO: Xor|Ежедневная Охота|||수배: Xor||Chasse quotidienne
quest_description_445|Use Pulser to find Xor in Event Horizon and kill him.||Use o Pulsador para encontrar Xor no Horizonte de Eventos|Найдите [daily_hunt_enemy] в Act [daily_hunt_act].|||펄서를 사용하여 이벤트 호라이즌에서 Xor를 찾아 처치하세요.||Trouvez [daily_hunt_enemy] dans l'acte [daily_hunt_act].
quest_objective_445_1|Xor dead||Xor morto|[ежедневная охота на врага] убит|||Xor 사망||[daily_hunt_enemy] tué
quest_dialog_445|WANTED: XOR. An inter dimensional mercenary called Xor is wanted dead! A recent sighting has confirmed that he is indeed hiding somewhere in the Event Horizon. Take the Pulser, use it to find him and kill him.||PROCURA-SE: XOR. Um mercenário interdimensional chamado Xor é desejado morto! Um avistamento recente confirmou que ele está de fato escondido em algum lugar do Horizonte de Eventos. Pegue o Pulsador, use-o para encontrá-lo e matá-lo.|РАЗЫСКИВАЕТСЯ: [daily_hunt_enemy], за преступления против человечности и королевства Таретиэль. Последний раз видели в действии [daily_hunt_act]. Награда за доказательство гибели.|||수배: XOR. 차원 간 용병인 Xor이 사망한 채로 수배 중입니다! 최근 목격 정보에 따르면 그는 이벤트 호라이즌 어딘가에 숨어 있는 것이 확인되었습니다. 펄서를 가져가서 그를 찾아내고 처치하세요.||RECHERCHÉ : [daily_hunt_enemy], pour crimes contre l'humanité et le royaume de Tarethiel. Vu pour la dernière fois dans l'Acte [daily_hunt_act]. Récompense pour preuve de sa mort.
|||||||||
quest_name_446|Anita’s Amulet||Amuleto de Anita||||아니타의 부적||
quest_description_446|Find Anita’s amulet in the Sea of Karponia||Encontre o amuleto de Anita no Mar de Karponia||||카르포니아 해에서 아니타의 부적을 찾아라||
quest_objective_446_1|Amulet found||Amuleto encontrado||||부적 발견||
quest_dialog_446|Hey there, stranger! I am Anita, from Danethrope. I was on a visit in the east, Shujo Retreat, and when swimming in the ocean I got attacked by a bunch of Piranhas. When I swam to safety one of those pesky little fishes grabbed and possibly ate my Amulet. It is really important to me. I will pay you handsomely if you can find it!||Olá, estranho! Eu sou Anita, de Danethrope. Eu estava em uma visita ao leste, no Retiro de Shujo, e quando estava nadando no oceano fui atacada por um bando de piranhas. Quando nadei para me salvar, um desses peixinhos irritantes agarrou e possivelmente comeu meu amuleto. Ele é muito importante para mim. Eu lhe pagarei muito bem se você conseguir encontrá-lo!||||안녕하세요, 낯선 사람! 저는 다네스로프에서 온 아니타입니다. 저는 동쪽의 슈조 리트리트에 방문 중이었고, 바다에서 수영하다가 피라냐 무리에게 공격을 당했습니다. 안전한 곳으로 헤엄쳐 나왔을 때, 그 성가신 작은 물고기 중 하나가 제 부적을 잡아먹었을 가능성이 있습니다. 그 부적은 저에게 정말 중요합니다. 만약 그것을 찾아주신다면, 후하게 보상해드리겠습니다!||
|||||||||
quest_name_447|Awful Abominations||Abominações Horrendas||||끔찍한 괴물들||
quest_description_447|Clear Abomination events||Limpe eventos de Abominação||||혐오 이벤트 클리어||
quest_objective_447_1|Colossal chests opened||Baús colossais abertos||||거대한 상자 열림||
quest_dialog_447|Gar Nor here! I need a strong and heroic adventurer to put a stop to those colossal monsters! If you are up for it I will give you an additional reward on top of whatever you find when searching and slaying these foul creatures!||Gar Nor aqui! Preciso de um aventureiro forte e heroico para acabar com esses monstros colossais! Se você estiver disposto a isso, eu lhe darei uma recompensa adicional além do que você encontrar ao procurar e matar essas criaturas imundas!||||여기 가르 노르! 이 거대한 괴물들을 막아줄 강하고 영웅적인 모험가가 필요해! 만약 네가 준비가 되어 있다면, 이 더러운 생물들을 찾아서 처치하는 동안 발견하는 것 외에 추가 보상을 줄게!||
|||||||||
quest_name_448|To The Tower!||Para a Torre!||||탑으로!||
quest_description_448|Clear a Chaos Tower||Limpe uma Torre do Caos||||혼돈의 탑 정리||
quest_objective_448_1|Chaos Tower cleared||Torre do Caos concluída||||혼돈의 탑 클리어||
quest_dialog_448|Um here! Please, any Hero in Tarethiel reading this. I need [c_yellow]YOUR[c_reset] help. At some point, these walking Towers emerged from the Chaos to cause havoc in Tarethiel. Me and Mayor Kukkonen tried to find a way to destroy one, but got sucked into it and I barely got out alive. Kukkonen is still in there! Help me cleanse these Chaos Towers once and for all!||Um aqui! Por favor, para qualquer Herói em Tarethiel lendo isso, Eu preciso [c_yellow]DA SUA[c_reset] ajuda. Em algum momento, estas Torres ambulantes emergiram do Caos para causar destruição em Tarethiel. Eu e o Prefeito Kukkonen tentamos achar uma forma de destruir uma, mas ele foi puxado para dentro de uma e eu quase não sai vivo. Kukkonen ainda está lá! Me ajude a limpar estas Torres do Caos de uma vez por todas!||||여기요! 이걸 읽고 있는 Tarethiel의 영웅님, 제발 [c_yellow]당신의[c_reset] 도움이 필요해요. 어느 순간, 이 걷는 탑들이 혼돈에서 나타나 Tarethiel에 파괴를 일으켰어요. 저와 시장 Kukkonen은 하나를 파괴할 방법을 찾으려 했지만, 그 안으로 빨려 들어가 거의 살아나오지 못했어요. Kukkonen은 아직 그 안에 있어요! 이 혼돈의 탑들을 완전히 정화하는 것을 도와주세요!||
|||||||||
quest_name_449|Njal Must Die!||Njal Deve Morrer!||||니얄은 죽어야 한다!||
quest_description_449|Find and Kill Njal in the Snowy Mountains||Encontre e Mate Njal nas Montanhas Nevadas||||눈 덮인 산에서 니얄을 찾아 처치하세요||
quest_objective_449_1|Njal slain||Njal morto||||Njal 사망||
quest_objective_449_2|Njal’s head||Cabeça de Njal||||||
quest_dialog_449|An evil warrior named Njal has been a continuous threat to the people of Danethrope. He has been spotted in the Snowy Mountains just now. Please find him and kill him! Bring his head as proof for the bounty.||Um guerreiro maligno chamado Njal tem sido uma ameaça constante para o povo de Danethrope. Ele foi visto nas Montanhas Nevadas agora mesmo. Por favor, encontre-o e mate-o! Traga a cabeça dele como prova para a recompensa.||||Njal이라는 사악한 전사가 Danethrope 사람들에게 지속적인 위협이 되고 있습니다. 그는 방금 눈 덮인 산맥에서 목격되었습니다. 그를 찾아 죽여주세요! 현상금을 위해 그의 머리를 증거로 가져오세요.||
|||||||||
quest_name_450|Security Measures||Medidas de Segurança||||보안 조치||
quest_description_450|Repair a beacon in each act and activate the system in Dhorn Farum||Repare um sinalizador em cada ato e ative o sistema em Dhorn Farum||||각 행위에서 비콘을 수리하고 Dhorn Farum에서 시스템을 활성화하세요||
quest_objective_450_1|The Pumpkin Patch beacon repaired||Farol do Canteiro de Abóboras reparado||||호박밭 비콘 수리 완료||
quest_objective_450_2|The Glacial Trail beacon repaired||Farol da Trilha Glacial reparado||||빙하 길 비콘 수리됨||
quest_objective_450_3|Dry Hills beacon repaired||Farol das Colinas Secasl reparado||||건조한 언덕의 신호기 수리됨||
quest_objective_450_4|The Devil's Breach beacon repaired||Farol da Fenda do Diabo reparado||||악마의 틈새 신호기 수리 완료||
quest_objective_450_5|Mt. Fuji beacon repaired||Farol do Mt. Fuji reparado||||후지산 신호등 수리 완료||
quest_objective_450_6|Highland Graveyard beacon repaired||Farol do Cemitério das Terras Altas reparado||||하이랜드 묘지 신호등 수리 완료||
quest_objective_450_7|Parallel Dimension beacon repaired||Farol da Dimensão Paralela reparado||||평행 차원 비콘 수리됨||
quest_objective_450_8|Security system re-activated||Sistema de segurança reativado||||보안 시스템이 다시 활성화되었습니다||
quest_dialog_450|Um here! The dwarven made security beacons which help us anticipate upcoming threats all over Tarethiel are in desperate need of repair. Please do the repairs and turn the system back on in Dhorn Farum!||Um aqui! Os sinalizadores de segurança feitos pelos anões, que nos ajudam a prever ameaças futuras em toda Tarethiel, precisam desesperadamente de reparos. Por favor, faça os reparos e ligue o sistema novamente em Dhorn Farum!||||여기요! 타레티엘 전역의 위협을 예상하는 데 도움을 주는 드워프가 만든 보안 비콘들이 절실히 수리가 필요합니다. 수리를 하고 다시 시스템을 드혼 파룸에서 켜주세요!||
|||||||||
quest_name_451|Hellpiercer||Operador do Inferno||||헬피어서||
quest_description_451|Collect the explosives from Old Mining Village, get the detonator from Dr. Tinker Dink and sabotage the Steam Train||Colete os explosivos da Velha Aldeia de Mineração, obtenha o detonador do Dr. Tinker Dink e sabote o Trem a Vapor||||구 광산 마을에서 폭발물을 수집하고, Dr. Tinker Dink에게서 기폭 장치를 받아 증기 기관차를 파괴하십시오.||
quest_objective_451_1|Explosives collected||Explosivos coletados||||폭발물 수집됨||
quest_objective_451_2|Detonator acquired||Detonador adquirido||||기폭 장치 획득||
quest_objective_451_3|Explosives placed||Explosivos posicionados||||폭발물 배치 완료||
quest_objective_451_4|Explosives detonated||Explosivos detonados||||폭발물이 폭발했습니다||
quest_dialog_451|Help wanted! This is Dr. Tinker Dink. The Steam Train has become a problem, transporting hellish creatures and resources for the evil forces of Tarethiel at an unprecedented rate. We need to sabotage the train to stop it or at least slow it down! Collect five sets of explosives from the Old Mining Village and meet me! I'll give you the detonator. Then go to the Steam Train and blow the sucker to a halt! I hope to talk to you soon, adventurer!||Precisa-se de ajuda! Aqui é o Dr. Tinker Dink. O Trem a Vapor se tornou um problema, transportando criaturas infernais e recursos para as forças malignas de Tarethiel em uma velocidade sem precedentes. Precisamos sabotar o trem para pará-lo ou, pelo menos, desacelerá-lo! Colete cinco conjuntos de explosivos na Velha Aldeia de Mineração e venha me encontrar! Eu lhe darei o detonador. Em seguida, vá até o trem a vapor e exploda o trem! Espero falar com você em breve, aventureiro!||||도움이 필요합니다! 저는 Dr. Tinker Dink입니다. 증기 기관차가 문제가 되고 있습니다. 이 기차는 지옥의 생물들과 자원을 Tarethiel의 악의 세력에게 전례 없는 속도로 운송하고 있습니다. 우리는 이 기차를 멈추거나 적어도 느려지게 하기 위해 파괴해야 합니다! 구 광산 마을에서 다섯 세트의 폭발물을 모아서 저를 만나세요! 제가 당신에게 기폭 장치를 드리겠습니다. 그런 다음 증기 기관차로 가서 그 녀석을 폭파하여 멈추게 하세요! 곧 당신과 이야기할 수 있기를 바랍니다, 모험가님!||
tinker_hellpiercer_dialog|Ah, nice to see you [heroname]! So you are the one who wants to help me? Great! Here is the detonator. It has an 8 second timer, so when you place it and turn it on, [shake_letter]RUN![shake_reset] Good luck!||Ah, prazer em vê-lo [heroname]! Então é você quem quer me ajudar? Ótimo! Aqui está o detonador. Ele tem um cronômetro de 10 segundos, portanto, quando você colocá-lo e ligá-lo, [shake_letter]CORRA![shake_reset] Boa sorte!||||아, 반가워요 [heroname]! 당신이 나를 도와주려는 사람이군요? 좋아요! 여기 기폭장치가 있어요. 8초 타이머가 있으니, 설치하고 작동시키면, [shake_letter]달려요![shake_reset] 행운을 빌어요!||
quest_train_bomb_run|I would [shake_letter][c_red]RUN[c_reset][shake_reset] if I were you!||Eu [shake_letter][c_red]CORRERIA[c_reset][shake_reset] se fosse você!||||내가 너라면 [shake_letter][c_red]뛰어[c_reset][shake_reset]!||
|||||||||
quest_name_452|The False Prophet Defenestration||A Defenestração do Falso Profeta||||거짓 예언자의 창문 밖으로 던지기||
quest_description_452|Talk to Magister Kujala and complete his task.||Fale com o Magister Kujala e conclua a tarefa dele.||||마스터 쿠잘라와 대화하고 그의 임무를 완료하세요.||
quest_objective_452_1|The true nature of the assignment discovered||A verdadeira natureza da tarefa descoberta||||임무의 진정한 본질이 밝혀졌다||
quest_objective_452_2|Luthor thrown out of Cathedral window||Luthor arremessado pela janela da Catedral||||루터가 성당 창문 밖으로 던져졌다||
quest_dialog_452|Looking for a righteous adventurer ready to help me with an urgent issue. I rather not write here about the nature of this task. Should you be interested come talk to me directly for further instructions![nl]- Magister Kujala||Estou procurando um aventureiro honrado que esteja pronto para me ajudar com um problema urgente. Prefiro não escrever aqui sobre a natureza desta tarefa. Se você estiver interessado, fale comigo diretamente para obter mais instruções![nl]- Magister Kujala||||정의로운 모험가를 찾고 있습니다. 급한 문제를 도와줄 준비가 된 분을 찾습니다. 이 작업의 성격에 대해서는 여기서 쓰지 않겠습니다. 관심이 있으시면 직접 저에게 와서 추가 지시를 받으세요![nl]- 마지스터 쿠잘라||
|||||||||
|||||||||
quest_name_475|Mysterious Key||Chave Misteriosa||||수수께끼의 열쇠||
quest_description_475|Use the key somewhere in Dhorn Farum||Use a chave em algum lugar de Dhorn Farum||||어딘가에서 Dhorn Farum의 열쇠를 사용하세요||
quest_objective_475_1|Keyhole found||Buraco de fechadura encontrado||||열쇠 구멍 발견||
|||||||||
quest_name_476|The Book of Soulforge – page 11||O Livro da Forja da Alma – Página 11|Таинственный Фрагмент|||소울포지의 책 – 페이지 11||Fragment mystérieux
quest_description_476|Slay Gurag and find the page 11 of the Book of Soulforge.||Mate Gurag e encontre a página 11 do Livro da Forja da Alma.|Похоже, это то, чего вы хотели бы|||구라그를 처치하고 소울포지의 책 11페이지를 찾아라.||Je crois que Örre aimerait bien ça
quest_objective_476_1|Book of Soulforge page collected||Página do Livro da Forja da Alma coletada|Найди Эрре , кузнеца|||영혼제련서 페이지 수집됨||Trouver Örre le forgeron
|||||||||
quest_name_477|The Book of Soulforge – page 12||O Livro da Forja da Alma – Página 12|Потрясающая печатка – часть 1|||소울포지의 책 – 페이지 12||Le sceau grandiose - partie 1
quest_description_477|Defeat Reaper and find the page 12 of the Book of Soulforge.||Mate o Ceifador e encontre a página 12 do Livro da Forja da Alma.|Найди Фрагменты Радуги|||리퍼를 물리치고 소울포지의 책 12페이지를 찾아라.||Collectez beaucoup de braggite.
quest_objective_477_1|Book of Soulforge page collected||Página do Livro da Forja da Alma coletada|Собранные фрагменты|||영혼의 대장장이 책 페이지 수집됨||Braggite collectée
|||||||||
quest_name_478|The Book of Soulforge – page 13||O Livro da Forja da Alma – Página 13|Потрясающая печатка - часть 2|||소울포지의 책 - 페이지 13||Le sceau grandiose - partie 2
quest_description_478|Find and help Hurnir inside the Pyramid and retrieve the missing page.||Encontre e ajude Hurnir dentro da Pirâmide e recupere a página perdida.|Собирайте Эссенции Богов у боссов.|||피라미드 안에서 흐르니르를 찾아 도와주고 잃어버린 페이지를 회수하세요.||Récupérez de l'essence des dieux sur les boss.
quest_objective_478_1|Find and help Hurnir||Encontre e ajude Hurnir|Сущность богов , собранная|||흐르니르를 찾아서 도와주세요||Essence des dieux collectée
quest_objective_478_2|Defeat Anubis and collect page 13||Derrote Anubis e colete a página 13||||아누비스를 물리치고 페이지 13을 수집하세요||
|||||||||
|||||||||
|||||||||
|||||||||
quest_name_479|The Book of Soulforge – page 14||O Livro da Forja da Alma – Página 14|Потрясающая печатка - часть 3|||영혼 대장간의 책 – 페이지 14||Le sceau grandiose - partie 3
quest_description_479|Find page 14 in The Altar of Lost Souls.||Encontre a página 14 no Altar das Almas Perdidas.|Найдите желаемый Удивительный Драгоценный камень.|||잃어버린 영혼의 제단에서 14페이지를 찾아라.||Trouvez la gemme grandiose de votre choix.
quest_objective_479_1|Book of Soulforge page collected||Página do Livro da Forja da Alma coletada|Собранный драгоценный камень|||영혼 제련서 페이지 수집됨||Gemme collectée
|||||||||
quest_name_480|The Book of Soulforge – page 15||O Livro da Forja da Alma – Página 15||||소울포지의 책 – 페이지 15||
quest_description_480|Gut King Karp at the Emperor's Chamber and collect the page 15.||Estripe o Rei Carpa na Câmara do Imperador e colete a página 15.||||황제의 방에서 카프 왕을 해체하고 페이지 15를 수집하세요.||
quest_objective_480_1|Book of Soulforge page collected||Página do Livro da Forja da Alma coletada||||소울포지의 책 페이지 수집됨||
|||||||||
quest_name_481|The Book of Soulforge – page 16||O Livro da Forja da Alma – Página 16||||영혼의 대장간의 책 – 페이지 16||
quest_description_481|Defeat Satan in the Seventh Layer of Hell and collect the last page of the Book of Soulforge.||Derrote Satã na Sétima Camada do Inferno e colete a última página do Livro da Forja das Almas.||||지옥의 일곱 번째 층에서 사탄을 물리치고 영혼의 대장간 책의 마지막 페이지를 수집하세요.||
quest_objective_481_1|Book of Soulforge page collected||Página do Livro da Forja da Alma coletada||||영혼제작서 페이지 수집 완료||
|||||||||
quest_name_482|Essential Essence||Essência Essencial||||본질의 정수||
quest_description_482|Obtain Soul Essence by slaying creatures and monsters.||Obtenha Essência das Almas matando criaturas e monstros.||||생물과 몬스터를 처치하여 영혼 정수를 획득하세요.||
quest_objective_482_1|Soul essence collected||Essência da Alma coletada||||영혼 정수 수집됨||
|||||||||
quest_name_483|Seething Souls||Almas Agitadas||||분노하는 영혼들||
quest_description_483|Obtain Souls of fallen warriors from piles.||Obtenha Almas de guerreiros caídos de pilhas.||||쓰러진 전사들의 영혼을 더미에서 획득하십시오.||
quest_objective_483_1|Warrior souls||Almas de Guerreiro||||전사의 영혼||
|||||||||
[HS 2.0 ACT SIDEQUESTS]|||||||||
|||||||||
quest_name_500|Pest Control||Controle de Pragas|Борьба с вредителями|||해충 퇴치||Lutte contre les nuisibles
quest_description_500|Find and kill Fragrat in Rat Den||Encontre e Mate Fragrat na Toca de Ratos|Найди и убей Аромата в Крысином Логове|||쥐 소굴에서 프래그랫을 찾아 처치하세요||Trouver et tuer Fragrat dans le repaire des rats
quest_objective_500_1|Fragrat slain||Fragrat morto|Аромат убит|||Fragrat 처치됨||Fragrat tué
|||||||||
|||||||||
quest_name_501|Hunger Issue||Problemas de Fome|Проблема голода|||배고픔 문제||Lutte contre la faim
quest_description_501|Collect ingredients to the maggot stew and cook it||Colete os ingredientes para o ensopado de larvas e cozinhe-o|Соберите ингредиенты для тушения личинок и приготовьте его|||재료를 모아 구더기 스튜를 요리하세요||Récupérez les ingrédients du ragoût d'asticots et faites-le cuire.
quest_objective_501_1|Maggots collected||Larvas coletada|Собранные личинки|||구더기 수집됨||Asticots collectés
quest_objective_501_2|Crimson Pumpkins harvested||Abóboras Carmesim colhidas|Собранные малиновые Тыквы|||수확한 진홍색 호박||Citrouilles cramoisies récoltées
quest_objective_501_3|Maggot stew cooked||Ensopado de larvas cozinhado|Тушеная личинка , приготовленная|||구더기 스튜 요리됨||Ragoût d'asticots cuit
|||||||||
quest_name_502|Murder of Crows||Murder of Crows|Убийство ворон|||까마귀의 살인||Meurtre de corbeaux
quest_description_502|Head into the Black Tower and bring Ahriman the head of Commander Albert, then head to the Northern Post and find his spellbook.||Vá até a Torre Negra e traga para Ahriman a cabeça do Comandante Albert, então vá até o Posto do Norte e encontre seu livro de feitiços|Найди книгу заклинаний Аримана в подземелье Гурага|||검은 탑으로 가서 아리만에게 알버트 사령관의 머리를 가져오고, 북쪽 초소로 가서 그의 주문서를 찾아라.||Trouvez le livre de sorts d'Ahriman dans le donjon de Gurag.
quest_objective_502_1|Spellbook found||Livro de feitiços encontrado|Найдена Книга заклинаний|||마법서 발견||Livre de sorts trouvé
quest_objective_502_2|Commander Albert's Head||Cabeça do Comandante Albert||||알버트 사령관의 머리||
|||||||||
quest_name_503|Help Anita||Ajude Anita|Помоги Аните|||Anita 돕기||Aidez Anita
quest_description_503|Collect ginseng plants||Colete plantas de Ginseng|Соберите растения женьшеня|||인삼 식물 수집||Récolter des racines de ginseng
quest_objective_503_1|Ginseng collected||Ginseng coletado|Собранный женьшень|||||Ginseng collecté
|||||||||
quest_name_504|Lost Belongins||Pertences Perdidos|Потерянные Вещи|||잃어버린 소지품||Affaires égarées
quest_description_504|Find Anita's Herbs||Encontre as ervas de Anita|Найди Травы Аниты|||아니타의 허브를 찾아라||Trouver les herbes d'Anita
quest_objective_504_1|Herb Pouch||Bolsa de Ervas|Мешочек с Травами|||허브 주머니||Pochette d'herbes
quest_objective_504_2|Frost Dill||Dill Congelado|Замороженный Укроп|||냉동 딜||Aneth givré
quest_objective_504_3|Loska||Loska|Лоска|||||Loska
quest_objective_504_4|Vermroot||Vermroot|Вермут|||버뮤트||Racine de Verm
quest_objective_504_5|Fanglen||Fanglen|Фанглен|||||Fanglen
|||||||||
quest_name_505|The Revenant||O Revenã|Выживший|||레버넌트||The Revenant
quest_description_505|Track and kill Carnage at the Glacial Trail||Rastreie e mate a Carnificina na Trilha Glacial|Выслеживайте и убивайте Карнажа на Ледниковой тропе|||빙하의 길에서 카니지를 추적하고 처치하세요||Traquez et tuez Carnage sur la piste glaciaire
quest_objective_505_1|Track Carnage||Carnificina rastreado|Трек Carnage ( Бойня )|||트랙 카니지||Pister Carnage
quest_objective_505_2|Kill Carnage||Mate Carnificina|Убить Бойню|||카니지 처치||Tuer Carnage
quest_objective_505_3|Skin Carnage's hide||Esfole pele de Carnificina|Шкура Карнажа шкура Карнажа|||카니지의 가죽 벗기기||Dépiauter Carnage
|||||||||
quest_name_506|Whip It Good||Bate bem|Взбейте Это Хорошенько|||잘 휘둘러||Bien fouetter
quest_description_506|Find Jasper's whip at Mos'Arathim Desert||Encontre o chicote de Jasper no Deserto de Mos’Arathim|Найди хлыст Джаспера в пустыне Мосаратим|||모스아라팀 사막에서 재스퍼의 채찍을 찾으세요||Trouvez le fouet de Jasper dans le désert de Mos'Arathim.
quest_objective_506_1|Whip collected||Chicote coletado|Собранный хлыст|||채찍 획득||Fouet collecté
|||||||||
quest_name_507|We Are Gonna Be Rich!||Nós Vamos Ficar Ricos!|Мы собираемся Разбогатеть!|||우리는 부자가 될 거야!||Nous allons être riches !
quest_description_507|Find the Ancient Map in Cauflax Tomb||Encontre o mapa antigo na Tumba de Cauflax|Найдите Древнюю карту в гробнице Кауфлакса|||카우플락스 무덤에서 고대 지도를 찾으세요||Trouvez l'ancienne carte dans la tombe de Cauflax
quest_objective_507_1|Map found||Mapa encontrado|Найденная карта|||지도 발견||Carte trouvée
|||||||||
quest_name_508|Raider of the Lost Staff||Incursor do Cajado Perdido|Налетчик на Потерянный Посох|||잃어버린 지팡이의 약탈자||A la recherche du bâton perdu
quest_description_508|Find Staff of Anubis inside Mysterious Pyramid||Encontre o Cajado de Anubis dentro da Piramide Misteriosa|Найдите Посох Анубиса внутри Таинственной Пирамиды|||신비한 피라미드 안에서 아누비스의 지팡이를 찾으세요||Trouver le bâton d'Anubis dans la mystérieuse pyramide
quest_objective_508_1|Staff found||Cajado encontrado|Персонал , найденный|||||Bâton trouvé
|||||||||
quest_name_509|Devil's Cabbage||Repolho do Diabo|Дьявольская капуста|||악마의 양배추||Marie-jeanne
quest_description_509|Collect herbs for Ragnar in Old Copper Mine||Colete ervas para Ragnar na Antiga Mina de Cobre|Собирайте травы для Рагнара в Старом Медном руднике|||오래된 구리 광산에서 라그나르를 위해 약초를 모으세요||Aider Ragnar a retrouver Marie-jeanne dans l'ancienne mine de cuivre.
quest_objective_509_1|Devil's Cabbage collected||Repolho do Diabo coletado|Собранная Дьявольская капуста|||악마의 양배추 수집됨||Marie-jeanne retrouvée
|||||||||
quest_name_510|Search for Hurrdurr – part 1||Busca por Hurrdurr – parte 1|Поиск Hurrdurr – часть 1|||Hurrdurr 찾기 – 1부||Recherche de Hurrdurr - partie 1
quest_description_510|Find out what happened to Hurrdurr||Descubra o que aconteceu com Hurrdurr|Узнай , что случилось с Хуррдурром|||허르더에게 무슨 일이 일어났는지 알아보세요||Découvrez ce qui est arrivé à Hurrdurr
quest_objective_510_1|Abandoned Mine searched||Mina Abandonada procurada|Обыскана заброшенная Шахта|||버려진 광산 조사 완료||Mine abandonnée fouillée
|||||||||
quest_name_511|Search for Hurrdurr – part 2||Busca por Hurrdurr – parte 2|Поиск Hurrdurr – часть 2|||Hurrdurr 찾기 – 2부||Recherche de Hurrdurr - partie 2
quest_description_511|Find Hurrdurr in Damien's Altar||Encontre Hurrdurr no Altar de Damien|Найди Хуррдурра на Алтаре Дэмиена|||데미안의 제단에서 허르두르를 찾아라||Trouver Hurrdurr dans l'autel de Damien
quest_objective_511_1|Hurrdurr located||Hurrdurr localizado|Хуррдурр находится|||허르더 위치 확인||Hurrdurr localisé
quest_objective_511_2|Knights defeated||Cavaleiros derrotados|Побежденные рыцари|||기사들이 패배했다||Chevaliers vaincus
quest_objective_511_3|Hurrdurr raptured||Hurrdurr arrebatado|Хуррдурр в восторге|||Hurrdurr 휴거||Hurrdurr sauvé
|||||||||
