[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
buff_magic_damage_reduction|Magic Damage taken reduced by|Magic Damage vähennetty|Dano Mágico sofrido reduzido em| Получаемый магический урон уменьшен на|受到的魔法伤害减少|受ける魔法ダメージ減少|받는 마법 피해 감소|Erlittener Magieschaden reduziert um|Dégâts magiques subis réduits de 
buff_physical_damage_reduction|Physical Damage taken reduced by|Fyysiset vahingot vähennetty|Dano Físico sofrido reduzido em|Получаемый физический урон уменьшен на |受到的物理伤害减少|受ける物理ダメージ減少|받는 물리 피해 감소|Erlittener physischer Schaden reduziert um|
buff_damage_reduction|Damage taken reduced by|Korvattu vahinko vähennetty|Dano sofrido reduzido em| Полученный урон уменьшен на|受到的伤害减少|受けるダメージ減少|받는 피해 감소|Erlittener Schaden reduziert um|Dégâts subis réduits de 
buff_damage_taken_mana|Damage taken converted into mana|Vahinko muutettu manaksi|Dano sofrido convertido em mana| Полученный урон конвертируется в ману.|受到的伤害转化为法力|受けるダメージをマナに変換|받는 피해가 마나로 전환|Erlittener Schaden in Mana umgewandelt|Dégâts subis sont convertis en mana 
buff_cast_rate|Cast Rate Increased by|Cast Rate lisääntynyt|Taxa de Conjuração aumentada em| Скорость применения увеличена на|施法速度增加|キャスト率増加|시전 속도 증가|Zauberrate erhöht um|Vitesse des sorts augmentée de 
buff_immortality|Immortality|Kuolemattomuus|Imortalidade|Бессмертие|不朽|不死|불멸|Unsterblichkeit|Invulnérable
buff_freeze|Freeze Duration|Jäädytyksen kesto|Duração de Congelamento| Продолжительность заморозки|冻结持续时间|凍結持続時間|동결 지속 시간|Einfrierdauer|Durée du gel 
buff_slow|Slow Duration|Hidas kesto |Duração de Desaceleração| Медленная продолжительность|减速持续时间|スロウ持続時間|느림 지속 시간|Verlangsamungsdauer|Durée de ralentissement 
buff_dodge|Dodge Increased by|Dodge lisääntynyt|Esquiva Aumentada em|Уклонение увеличено на |闪避增加|回避増加|회피 증가|Ausweichen erhöht um|
buff_stun|Stun Duration|Tainnutuksen kesto|Duração de Atordoamento| Продолжительность оглушения|眩晕持续时间|スタン持続時間|기절 지속 시간|Betäubungsdauer|Durée de l'étourdissement 
buff_damage_return|Damage Returned to attacker|Vahinko palautettu hyökkääjälle|Dano Retornado ao Agressor|Отражение урона|返回攻击者的伤害|攻撃者へのダメージ返還|공격자에게 반환되는 피해|An Angreifer zurückgegebener Schaden|Dégâts renvoyés à l'attaquant 
buff_strength|Strength Increased by|Vahvuus lisääntynyt|Força Aumentada em| Сила увеличена на|力量增加|筋力増加|힘 증가|Stärke erhöht um|Force augmentée de 
buff_dexterity|Dexterity Increased by|Kätevyys lisääntynyt|Destreza Aumentada em| Ловкость увеличена на|敏捷增加|器用さ増加|민첩성 증가|Geschicklichkeit erhöht um|Dextérité augmentée de 
buff_energy|Energy Increased by|Energiaa lisätty|Energia Aumentada em| Энергия увеличена на|能量增加|エネルギー増加|에너지 증가|Energie erhöht um|Énergie augmentée de 
buff_armor|Armor Increased by|Panssari lisätty|Armadura Aumentada em| Броня увеличена на|护甲增加|アーマー増加|방어력 증가|Rüstung erhöht um|Armure augmentée de 
buff_vitality|Vitality Increased by|Elinvoimaisuus lisääntynyt|Vitalidade Aumentada em| Живучесть увеличена на|活力增加|バイタリティ増加|활력 증가|Vitalität erhöht um|Vitalité augmentée de 
buff_experience_gain|Experience Gained Increased by|Saatu kokemus lisääntynyt|Ganho de Experiência Aumentado| Полученный опыт увеличен на|获得的经验增加|獲得経験値増加|경험치 획득 증가|Erworbene Erfahrung erhöht um|Expérience gagnée augmentée de 
buff_magic_find|Magic Find Increased by|Magic Find lisääntynyt|Magic Find Aumentado em|Удача увеличена на|魔法发现增加|魔法発見増加|마법 발견 증가|Magisches Gespür erhöht um|Découverte d'objets magiques augmentée de 
buff_extra_gold|Extra Gold from kills|Ylimääräistä kultaa tappoista|Ouro Extra de Abates|Дополнительное золото за убийства |击杀额外金币|キルによる追加ゴールド|킬로 얻는 추가 골드|Zusätzliches Gold durch Kills|
buff_all_skills|All Skills Increased by|Kaikki taidot lisääntyneet|Todas as Habilidades Aumentadas em| Все навыки увеличены на|所有技能增加|全スキル増加|모든 스킬 증가|Alle Fertigkeiten erhöht um|Toutes les compétences augmentées de 
buff_additive_physical_damage|Physical Damage Increased by|Fyysiset vauriot lisääntyneet|Dano Físico Aditivo Aumentado em| Дополнительный физический урон увеличен на|物理伤害增加|物理ダメージ増加|물리적 피해 증가|Physischer Schaden erhöht um|Dégâts physiques augmentés de 
buff_physical_damage|Physical Damage dealt|Fyysinen vahinko käsitelty|Dano Físico causado| Нанесенный физический урон|造成的物理伤害|物理ダメージ与える|물리적 피해 처리|Verursachter physischer Schaden|Dégâts physiques infligés 
buff_skill_damage|Magic Skill Damage Increased by|Magic Skill Damage lisääntynyt|Dano de Habilidades Mágicas Aumentado em| Урон от магических навыков увеличен на|魔法技能伤害增加|魔法スキルダメージが増加|마법 스킬 데미지 증가|Magiefertigkeit Schaden erhöht um|Dégâts des compétences augmentés de 
buff_additive_fire_damage|Additive Fire Damage Increased by|Lisäaine palovahinko lisääntynyt|Dano Aditivo de Fogo Aumentado em|Дополнительный урон от огня увеличен на|附加火焰伤害增加|追加火炎ダメージが増加|가산 화염 데미지 증가|Additiver Feuerschaden erhöht um|Dégâts de feu augmentés de 
buff_fire_damage|Fire Damage dealt|Palovahingot käsitelty|Dano de Fogo causado|Нанесенный урон от огня|造成的火焰伤害|与える火炎ダメージ|화재 데미지 처리|Verursachter Feuerschaden|Dégâts de feu infligés 
buff_fire_skill_damage|Fire Skill Damage Increased by|Palon taitojen vauriot lisääntyneet|Dano de Habilidades de Fogo Aumentado em| Урон от навыка огня увеличен на|火焰技能伤害增加|火炎スキルダメージが増加|화재 스킬 데미지 증가|Erhöhter Feuerfertigkeitsschaden um|Dégâts des compétences de feu augmentés de 
buff_additive_cold_damage|Additive Cold Damage Increased by|Lisäaine Kylmävaurio lisääntynyt|Dano Aditivo de Gelo Aumentado em| Дополнительный урон от холода увеличен на|附加寒冷伤害增加|追加冷気ダメージが増加|가산 냉기 데미지 증가|Additiver Kälteschaden erhöht um|Dégâts de froid augmentés de 
buff_cold_damage|Cold Damage dealt|Cold Damage jaettu|Dano de Gelo causado| Нанесенный урон от холода|造成的寒冷伤害|与える冷気ダメージ|냉기 데미지 처리|Verursachter Kälteschaden|Dégâts de froid infligés 
buff_cold_skill_damage|Cold Skill Damage Increased by|Kylmätaitojen vauriot lisääntyneet|Dano de Habilidade de Gelo Aumentado em| Урон от умения холода увеличен на|寒冷技能伤害增加|冷気スキルダメージが増加|냉기 스킬 데미지 증가|Erhöhter Kältefertigkeitsschaden um|Dégâts des compétences de froid augmentés de 
buff_additive_lightning_damage|Additive Lightning Damage Increased by|Salaman lisävahinko lisääntynyt|Dano Aditivo de Raios Aumentado em| Дополнительный урон от молнии увеличен на|附加闪电伤害增加|追加雷ダメージが増加|가산 번개 데미지 증가|Additiver Blitzschaden erhöht um|Dégâts de foudre augmentés de 
buff_lightning_damage|Lightning Damage dealt|Salamavaurio käsitelty|Dano de Raios causado| Нанесенный урон от молнии|造成的闪电伤害|与える雷ダメージ|번개 데미지 처리|Verursachter Blitzschaden|Dégâts de foudre infligés 
buff_lightning_skill_damage|Lightning Skill Damage Increased by|Salaman taidon vauriot lisääntyneet|Dano de Habilidades de Raios Aumentado em| Урон от навыка молнии увеличен на|闪电技能伤害增加|雷スキルダメージが増加|번개 스킬 데미지 증가|Erhöhter Blitzfertigkeitsschaden um|Dégâts des compétences de foudre augmentés de 
buff_additive_poison_damage|Additive Poison Damage Increased by|Lisäainemyrkytysvaurio lisääntynyt |Dano Aditivo de Veneno Aumentado em|Дополнительный урон от яда увеличен на|附加毒药伤害增加|追加毒ダメージが増加|가산 독 데미지 증가|Additiver Giftschaden erhöht um|Dégâts de poison augmentés de 
buff_poison_damage|Poison Damage dealt|Myrkky vahinko käsitelty|Dano de Veneno causado| Нанесенный урон ядом|造成的毒药伤害|与える毒ダメージ|독 데미지 처리|Verursachter Giftschaden|Dégâts de poison infligés 
buff_poisoned_damage|Poisoned Damage dealt|Myrkytetty vahinko käsitelty|Dano Envenenado causado|Нанесенный урон отравлен |造成的中毒伤害|与える毒ダメージ|독 데미지 처리|Verursachter Vergiftungsschaden|
buff_poison_skill_damage|Poison Skill Damage Increased by|Poison Skill Damage lisääntynyt|Dano de Habilidades de Veneno Aumentado em| Урон навыка яда увеличен на|毒药技能伤害增加|毒スキルダメージが増加|독 스킬 데미지 증가|Erhöhter Giftfertigkeitsschaden um|Dégâts des compétences de poison augmentés de 
buff_additive_magic_damage|Additive Arcane Damage Increased by|Additive Arcane Damage lisääntynyt|Dano Arcano aditivo Aumentado em| Дополнительный урон от тайной магии увеличен на|附加奥术伤害增加|追加秘術ダメージが増加|가산 비전 데미지 증가|Additiver Arkanschaden erhöht um|Dégâts d'arcane augmentés de 
buff_magic_damage|Arcane Damage dealt|Arcane Damage jaettu|Dano Arcano causado| Нанесенный урон от тайной магии|造成的奥术伤害|与える秘術ダメージ|비전 데미지 처리|Verursachter Arkanschaden|Dégâts d'arcane infligés 
buff_magic_skill_damage|Arcane Skill Damage Increased by|Arcane Skill Damage lisääntynyt|Dano de Habilidades Arcanas aumentado em| Урон от тайных навыков увеличен на|奥术技能伤害增加|秘術スキルダメージが増加|비전 스킬 데미지 증가|Erhöhter Arkanfertigkeitsschaden um|Dégâts des compétences d'arcane augmentés de 
buff_fire_resistance|Fire Resistance Increased by|Palonkestävyys lisääntynyt|Resistência a Fogo Aumentada em| Сопротивление огню увеличено на|火焰抗性增加|火耐性が増加|화재 저항력 증가|Erhöhter Feuerwiderstand um|Résistance au feu augmentée de 
buff_cold_resistance|Cold Resistance Increased by|Kylmäkestävyys lisääntynyt|Resistência a Gelo Aumentada em| Сопротивление холоду увеличено на|寒冷抗性增加|冷気耐性が増加|냉기 저항력 증가|Erhöhter Kältewiderstand um|Résistance au froid augmentée de 
buff_lightning_resistance|Lightning Resistance Increased by|Salamankestävyys lisääntynyt|Resistência a Raios Aumentada em| Сопротивление молнии увеличено на|闪电抗性增加|雷耐性が増加|번개 저항력 증가|Erhöhter Blitzwiderstand um|Résistance à la foudre augmentée de 
buff_poison_resistance|Poison Resistance Increased by|Myrkkynkestävyys lisääntynyt|Resistência a Veneno Aumentada em| Сопротивление яду увеличено на|毒药抗性增加|毒耐性が増加|독 저항력 증가|Erhöhter Giftwiderstand um|Résistance au poison augmentée de 
buff_magic_resistance|Arcane Resistance Increased by|Arkaaninen vastustuskyky lisääntynyt|Resistência Arcana Aumentada em | Сопротивление тайной магии увеличено на|奥术抗性增加|秘術耐性が増加|비전 저항력 증가|Erhöhter Arkanwiderstand um|Résistance à l'arcane augmentée de 
buff_all_resistances|All Resistances Increased by|Kaikki vastukset lisääntyneet|Todas as Resistências Aumentadas em| Все сопротивления увеличены на|所有抗性增加|すべての耐性が増加|모든 저항력 증가|Erhöhter Alle Widerstände um|Toutes les résistances augmentées de 
buff_all_resistances_reduced|All Resistances Decreased by|Kaikki vastukset vähentyneet|Todas as Resistências Reduzidas em|Все сопротивления уменьшены на |所有抗性减少|すべての耐性が減少|모든 저항력 감소|Erhöhter Alle Widerstände um|
buff_multicast|Cast times increased by|Näyttelyajat kasvoivat|Tempos de Conjuração aumentados em|Время применения увеличено на|施法时间增加|キャスト時間が増加|시전 시간 증가|Erhöhter Zauberzeiten um|Nombre de sort lancé augmenté de 
buff_bleed_damage|Bleeding damage |Verenvuotovaurio |Dano de Sangramento | Кровотечение|流血伤害 |出血ダメージ |출혈 데미지 |Blutungsschaden |Dégâts de saignement
buff_homing_projectiles|Homing Projectiles|Kohdistusammukset|Projéteis Teleguiados|Самонаводящиеся снаряды|追踪射弹|ホーミング弾|추적 투사체|Zielsuchende Projektile|Projectiles à tête chercheuse
buff_arcane_break|Arcane Break|Arkaaninen tauko|Quebra Arcana|Чародейский прорыв|奥术破除|アーケイン ブレイク|비전 브레이크|Arkaner Bruch|Arcane Break
buff_phasing|Phasing|Vaiheittainen|Phasing|Фазирование|相位|フェーズ|페이징|Phasenverschiebung|Phasing
buff_critical_damage|Critical Strike Damage Increased by|Kriittinen iskuvahinko lisääntynyt|Dano de Acerto Crítico Aumentado em|Урон от критического удара увеличен на|致命一击伤害增加|クリティカル ストライク ダメージが増加|치명타 피해 증가|Kritischer Trefferschaden erhöht um|Dégâts de coup critique augmentés de
buff_increased_damage_burning|Damage to Burning targets Increased by|Palavien kohteiden vauriot lisääntyneet|Dano em Alvos Queimando Aumentado em|Урон по горящим целям увеличен на|对燃烧目标的伤害增加|燃焼ターゲットへのダメージが増加|불타는 대상에게 주는 피해 증가|Schaden an brennenden Zielen erhöht um|Dégâts aux cibles en feu augmentés de
buff_increased_damage_bleeding|Damage to Bleeding targets Increased by|Verenvuotokohteiden vauriot lisääntyneet|Dano a alvos sangrando aumentado em|Урон по истекающим кровью целям увеличен на|对流血目标的伤害增加|出血ターゲットへのダメージが増加|출혈 대상에게 주는 피해 증가|Schaden an blutenden Zielen erhöht um|Dégâts aux cibles saignantes augmentés de
buff_increased_damage_poisoned|Damage to Poisoned targets Increased by|Myrkytettyjen kohteiden vauriot lisääntyneet|Dano a alvos envenenados aumentado em |Урон по отравленным целям увеличен на|对中毒目标的伤害增加|毒ターゲットへのダメージが増加|중독된 대상에게 주는 피해 증가|Schaden an vergifteten Zielen erhöht um|Dégâts aux cibles empoisonnées augmentés de
buff_all_damage|All damage dealt Increased by|Kaikki vahingot lisääntyivät|Todo dano causado Aumentado em|Весь наносимый урон увеличен на|造成的所有伤害增加|与えるすべてのダメージが増加|입힌 모든 피해 증가|Gesamter Schaden erhöht um|Tous les dégâts infligés augmentés de
buff_meteor_storm|Meteor Storm Level|Meteorimyrskyn taso|Nível da Tempestade de Meteoros|Уровень метеоритного шторма|流星风暴等级|メテオ ストーム レベル|유성 폭풍 레벨|Meteorsturm-Level|Niveau de la tempête de météores
buff_loot_slots|Loot Amount increased by|Saalismäärä kasvoi|Quantidade de Loot aumentada em|Количество добычи увеличено на|战利品数量增加|戦利品量が増加|전리품 양 증가|Beutemenge erhöht um|Quantité de butin augmentée de
buff_gold_drops|Gold from monster kills increased by|Monsteritapojen kulta lisääntyi|Ouro de Monstros Eliminados aumentado em|Золото от убийств монстров увеличено на|击杀怪物获得的金币增加|モンスターを倒して得られるゴールドが増加|몬스터 처치 시 얻는 골드 증가|Gold aus Monstertötungen erhöht um|L'or des monstres tués augmenté de
buff_heroic_chance|Heroic Item drop chances increased by|Heroic Item -pudotusmahdollisuudet kasvoivat|Chance de Drop de Item Heroico aumentado em|Шансы выпадения героических предметов увеличены на|英雄物品掉落几率增加|ヒロイック アイテムのドロップ率が増加|영웅 아이템 드롭 확률 증가|Heroische Gegenstandsdrop-Chancen erhöht um|Chances d'obtention d'objets héroïques augmentées de
buff_angelic_chance|Angelic Item drop chances increased by|Angelic Item -pudotusmahdollisuudet kasvoivat|Chance de Drop de Item Angélico aumentado em|Шансы выпадения ангельских предметов увеличены на|天使物品掉落几率增加|エンジェリック アイテムのドロップ率が増加|천사 아이템 드롭 확률 증가|Engelhafte Gegenstandsdrop-Chancen erhöht um|Chances d'obtention d'objets angéliques augmentées de
buff_ancient_relic|Ancient monsters have a chance to drop a Relic when killed|Muinaisilla hirviöillä on mahdollisuus pudottaa jäänne tapettuaan|Monstros Anciões tem uma chance de dropar uma Relíquia quando eliminados|Древние монстры имеют шанс выпадения реликвии при убийстве|古代怪物被杀死时有机会掉落遗物|古代モンスターを倒すとレリックをドロップする確率が増加|고대 몬스터 처치 시 유물 드롭 확률 증가|Uralte Monster haben die Chance, bei ihrer Tötung eine Reliquie fallen zu lassen|Les monstres anciens ont une chance de laisser tomber une relique lorsqu'ils sont tués
buff_ancient_goblin|Ancient monsters have a chance to summon a Treasure Goblin when killed|Muinaisilla hirviöillä on mahdollisuus kutsua Treasure Goblin kuollessaan|Monstros Anciões tem uma chance de invocar um Goblin do Tesouro quando eliminados|Древние монстры имеют шанс призвать гоблина сокровищ при убийстве|古代怪物被杀死时有机会召唤宝藏哥布林|古代モンスターを倒すとトレジャー ゴブリンを召喚する確率が増加|고대 몬스터 처치 시 보물 고블린 소환 확률 증가|Uralte Monster haben die Chance, bei ihrer Tötung einen Schatzgoblin zu beschwören|Les monstres anciens ont une chance d'invoquer un gobelin au trésor lorsqu'ils sont tués
buff_recovery|All Recovery increased by|Kaikki palautus lisääntyi|Toda a Recuperação aumentada em|Все восстановление увеличено на|所有恢复增加|すべての回復が増加|모든 회복 증가|Alle Erholungen erhöht um|Toutes les récupérations augmentées de
buff_enemy_miniboss|Monsters have a chance to re-spawn as a Legion|Hirviöillä on mahdollisuus syntyä uudelleen legioonana|Monstros tem uma chance de renascer como uma Legião|Монстры имеют шанс возродиться как Легион|怪物有机会重生为军团|モンスターがレギオンとして再出現する確率が増加|몬스터 군단으로 다시 소환될 확률 증가|Monster haben die Chance, als Legion wiederzuerstehen|Les monstres ont une chance de réapparaître en tant que Légion
buff_ancient_pack|Chance to spawn Ancient packs|Mahdollisuus synnyttää muinaisia ​​laumoja|Chance de gerar packs de Anciões|Шанс призвать древние стаи|产生古代群落的机会|古代パックを出現する確率|고대 무리 소환 확률 증가|Chance, uralte Rudel zu beschwören|Chances de faire apparaître des meutes anciennes
buff_angels_embrace|Angel’s Embrace|Enkelin syleily|Abraço do Anjo|Объятия ангела|天使的拥抱|エンジェルズ エンブレイス|천사의 포옹|Engelsumarmung|Étreinte de l'ange
buff_key_chance|All Key drop chances increased by|Kaikki Key-pudotusmahdollisuudet kasvoivat|Todas as chances de drop de chave aumentadas em|Шанс выпадения всех ключей увеличен на|所有钥匙掉落几率增加|すべてのキーのドロップ率が増加|모든 열쇠 드롭 확률 증가|Alle Schlüsseldrop-Chancen erhöht um|Toutes les chances de faire apparaître des clés augmentées de
buff_all_attributes|All Attributes increased by|Kaikki attribuutit kasvoivat|Todos os Atributos aumentados em|Все атрибуты увеличены на|所有属性增加|すべての属性が増加|모든 속성 증가|Alle Attribute erhöht um|Tous les attributs augmentés de
buff_summon_attack_speed|Summon Attack Speed increased by|Summon Attack Speed ​​kasvoi|Velocidade de Ataque de Invocações aumentada em|Скорость атаки призыва увеличена на|召唤攻击速度增加|召喚攻撃速度が増加|소환 공격 속도 증가|Beschwörungsangriffsgeschwindigkeit erhöht um|Vitesse d'attaque d'invocation augmentée de
buff_disabled|Skill Disabled|Taito vammainen|Habilidade Desabilitada|Навык отключен|技能禁用|スキル無効|스킬 비활성화|Fertigkeit deaktiviert|Compétence désactivée
buff_rune_chance|Rune Drop Chances Increased by|Rune Drop mahdollisuudet lisääntyneet |Chance de Drop de Runas Aumentado em|Шанс выпадения рун увеличен на|符文掉落几率增加|ルーン ドロップ率が増加|룬 드롭 확률 증가|Runendrop-Chancen erhöht um|Chances de faire apparaître des runes augmentées de
buff_jump_power|Jumping Power Increased by|Hyppyvoima lisääntynyt|Poder de salto aumentado por|Сила прыжка увеличена на|跳跃力增加|ジャンプ力が増加し|점프 파워 증가|Sprungkraft erhöht um|Puissance de saut augmentée de
buff_goblin_horde|Chance for monster packs to spawn as goblin packs|Mahdollisuus hirviölaumoille syntyä peikkolaumoina|Chance de grupos de monstros surgirem como grupos de goblins|Шанс для стаи монстров появиться как гоблин пакеты|怪物群产生哥布林群的机会|モンスター パックがゴブリンとして出現する確率パック|몬스터 무리가 고블린으로 소환될 확률 증가 팩|Chance, dass Monsterrudeln als Goblinrudeln erscheinen|Chances pour les meutes de monstres d'apparaître en tant que meutes de gobelins
buff_relic_feast|Chance to drop a relic on monster kill|Mahdollisuus pudottaa jäänne hirviön tappamiseen|Chance de soltar uma relíquia ao matar um monstro|Шанс выпадения реликвии при убийстве монстра|几率杀死怪物时掉落遗物|モンスターを倒すと遺物を落とすチャンス|몬스터 처치 시 유물을 떨어뜨릴 확률|Chance, eine Reliquie fallen zu lassen auf Monstertötung|Chances de faire apparaître une relique sur un monstre tuer
buff_spelunker|Chance to spawn an ore node on ancient monster kill|Mahdollisuus synnyttää malmisolmu muinaisen hirviön tappamiseen |Chance de gerar um nó de minério ao matar um monstro antigo |Шанс появления рудного узла при убийстве древнего монстра |杀死远古怪物时生成矿石节点的几率 |古代のモンスターを倒すと鉱石ノードが出現するチャンス |고대 몬스터 처치 시 광석 노드를 생성할 확률 |Chance, bei der Tötung eines antiken Monsters einen Erzknoten zu spawnen |Possibilité de faire apparaître un nœud de minerai en tuant un ancien monstre 
|||||||||
debuff_light_radius|Light Radius Decreased by|Valon säde pienentynyt|Raio de Luz Reduzido em|Радиус света уменьшен на|光半径减少|光の範囲が減少|빛 반경 감소|Lichtradius verringert um|Rayon de lumière diminué de
debuff_all_resistances|All Resistances Decreased by|Kaikki vastukset vähentyneet|Todas as Resistências Reduzidas em|Все сопротивления уменьшены на|所有抗性减少|すべての耐性が減少|모든 저항력 감소|Alle Widerstände verringert um|Toutes les résistances diminuées de
debuff_damage_taken|Damage Taken increased by|Otettu vahinko kasvoi|Dano Recebido aumentado em|Получаемый урон увеличен на|受到的伤害增加|受けるダメージが増加|받는 피해 증가|Erlittener Schaden erhöht um|Dégâts subis augmentés de
debuff_life|Life decreased by|Elämä väheni|Vida reduzida em|Жизнь уменьшена на|生命减少|ライフが減少|생명력 감소|Leben verringert um|Vie diminuée de
debuff_mana|Mana decreased by|Mana väheni|Mana Reduzida em|Мана уменьшена на|法力减少|マナが減少|마나 감소|Mana verringert um|Mana diminué de
debuff_darkness|Darkness increased by|Pimeys lisääntyi|Escuridão aumentada em|Тьма увеличена на|黑暗增加|闇が増加|어둠 증가|Dunkelheit erhöht um|Ténèbres augmentées de
debuff_all_skills|All Skills decreased by|Kaikki taidot vähenivät|Todas as Habilidades reduzidas em|Все навыки уменьшены на|所有技能减少|すべてのスキルが減少|모든 기술 감소|Alle Fertigkeiten verringert um|Toutes les compétences diminuées de
debuff_all_attributes|All Attributes decreased by|Kaikki attribuutit laskivat|Todos os Atributos reduzidos em|Все атрибуты уменьшены на|所有属性减少|すべての属性が減少|모든 속성 감소|Alle Attribute verringert um|Tous les attributs diminués de
debuff_replenish|Life and Mana replenish decreased by|Elämä ja Mana-täyttö väheni|Recuperação de Vida e Mana reduzidas em|Жизнь и восполнение маны уменьшены на|生命和法力补充减少|ライフとマナの回復が減少|생명력과 마나 회복 감소|Lebens- und Mana-Erneuerung verringert um|La régénération de vie et de mana diminuée de
debuff_life_steal|Life Steal decreased by|Life Steal väheni|Roubo de Vida reduzido em|Кража жизни уменьшена на|生命窃取减少|ライフスティールが減少|생명력 흡수 감소|Lebensraub verringert um|Vol de vie diminué de
debuff_mana_steal|Mana Steal decreased by|Mana Steal väheni|Roubo de Mana reduzido em|Кража маны уменьшена на|法力窃取减少|マナスティールが減少|마나 흡수 감소|Mana-Stehlen verringert um|Vol de mana diminué de
debuff_cooldown|Cooldown Recovery reduced by|Jäähdytyksen palautumista vähennetty|Recuperação do Tempo de Recarga reduzido em|Восстановление после перезарядки уменьшено на|冷却恢复减少|クールダウン回復が減少|재사용 대기시간 회복 감소|Abklingzeit-Wiederherstellung verringert um|Récupération après temps de recharge réduite de
debuff_boulder_fall|Monsters have a chance to drop a boulder from the sky when killed|Hirviöillä on mahdollisuus pudottaa lohkare taivaalta kuollessaan|Monstros tem uma chance de dropar um pedregulho do céu quando eliminados|У монстров есть шанс сбросить валун с неба при смерти|怪物被杀时有机会从天上掉下一块巨石|モンスターが倒されたときに空から岩を落とす可能性がある|몬스터가 죽을 때 하늘에서 바위를 떨어뜨릴 확률|Monster haben die Chance, einen Felsbrocken vom Himmel fallen zu lassen, wenn sie getötet werden|Les monstres ont une chance de laisser tomber un rocher du ciel lorsqu'ils sont tués
debuff_movement_speed|Movement Speed decreased by|Liikenopeus pieneni |Velocidade de Movimento reduzida em|Скорость передвижения уменьшена на|移动速度减少|移動速度が減少|이동 속도 감소|Bewegungsgeschwindigkeit verringert um|Vitesse de déplacement diminuée de
debuff_monster_life|Monster life increased by|Monsterin elämä lisääntyi|Vida dos Monstros aumentada em|Жизнь монстра увеличена на|怪物生命增加|モンスターのライフが増加|몬스터 생명력 증가|Monsterleben erhöht um|Vie du monstre augmentée de
debuff_necrosis|Life drained every second by|Elämä tyhjeni joka sekunti|Vida Drenada a cada segundo por |Высасывание жизни каждую секунду на|每秒生命流失|毎秒のライフ消耗が増加|매초마다 생명력 소모|Leben wird pro Sekunde entzogen um|Vie drainée toutes les secondes de
debuff_poison_length|Poison Length increased by|Myrkyn pituus kasvoi|Duração do Veneno aumentado em|Длина яда увеличена на|毒药长度增加|毒の長さが増加|독 지속 시간 증가|Giftdauer erhöht um|Durée du poison augmentée de
debuff_flaming_agony|Monsters unleash a Fire Nova when killed dealing fire damage of|Hirviöt vapauttavat Fire Novan kuollessaan ja aiheuttavat tulivahinkoja|Monstros liberam uma Nova de Fogo quando mortos, causando dano de fogo de|Монстры выпускают огненную звезду при смерти, нанося урон от огня|怪物被杀时会释放火焰新星，造成火焰伤害|モンスターが倒されたときに火炎ノヴァを放ち、火炎ダメージを与える|몬스터가 죽을 때 불의 노바를 방출하여 화염 피해를 입힙니다.|Monster entfesseln eine Feuernova, wenn sie getötet werden, und verursachen Feuerschaden von|Les monstres déclenchent une nova de feu lorsqu'ils sont tués, infligeant des dégâts de feu de
debuff_unholy_agility|Monster Movement Speed and Attack Speed increased by|Monster Movement Speed ​​ja Attack Speed ​​kasvoivat|Velocidade de Movimento e Ataque dos Monstros aumentada em|Скорость передвижения и скорость атаки монстра увеличены на|怪物移动速度和攻击速度增加|モンスターの移動速度と攻撃速度が増加|몬스터 이동 속도와 공격 속도 증가|Bewegungsgeschwindigkeit und Angriffsgeschwindigkeit der Monster erhöht um|Vitesse de déplacement et vitesse d'attaque du monstre augmentées de
debuff_block|Block Rating reduced by|Block Rating alennettu|Taxa de Bloqueio reduzida em|Рейтинг блока уменьшен на|格挡等级减少|ブロックレーティングが減少|차단 등급 감소|Blockwertung verringert um|Taux de blocage réduit de
debuff_hemorrhage|Monster attacks inflict a bleed that stacks 20 times dealing damage per stack of|Hirviöhyökkäykset aiheuttavat vuodon, joka pinoutuu 20 kertaa ja aiheuttaa vahinkoa pinoa kohden|Ataque de Monstros infligem um sangramento que acumula até 20 vezes, causando dano por acúmulo de|Атаки монстров вызывают кровотечение, которое суммируется 20 раз, нанося урон за стек|怪物攻击造成流血，可叠加 20 次，每层造成伤害|モンスターの攻撃は20回スタックする出血を引き起こし、スタックごとにダメージを与える|몬스터 공격 시 20번 중첩되는 출혈을 유발하여 중첩당 피해를 입힙니다.|Monsterangriffe verursachen eine Blutung, die 20-mal stapelbar ist und pro Stapel Schaden verursacht von|Les attaques de monstres infligent un saignement qui se cumule 20 fois, infligeant des dégâts par cumul de
debuff_crippling_slow|Monster attacks inflict a slow for 2 seconds by|Hirviöhyökkäykset hidastavat 2 sekuntia|Ataque de Monstros infligem desaceleramento por 2 segundos de|Атаки монстров вызывают замедление на 2 секунды на|怪物攻击造成减速 2 秒|モンスターの攻撃は2秒間のスローを引き起こす|몬스터 공격 시 2초 동안 느려짐|Monsterangriffe verursachen eine Verlangsamung für 2 Sekunden um|Les attaques de monstres infligent un ralentissement pendant 2 secondes de
debuff_monster_crit|Monster Critical Strike Damage increased by|Monster Critical Strike Damage kasvoi|Dano de Acerto Crítico de Monstros aumentado em|Урон от критического удара монстра увеличен на|怪物致命一击伤害增加|モンスターのクリティカルストライクダメージが増加|몬스터 치명타 피해 증가|Kritischer Trefferschaden der Monster erhöht um|Dégâts de coup critique de monstre augmentés de
